table,gender,tobacco,issue_age,duration,q_sel
t3369,Male,Nonsmoker,24,2,3e-4
t3369,Male,Nonsmoker,24,3,2.7e-4
t3369,Male,Nonsmoker,24,4,2.7e-4
t3369,Male,Nonsmoker,24,5,2.7e-4
t3369,Male,Nonsmoker,24,6,2.7e-4
t3369,Male,Nonsmoker,24,7,2.8e-4
t3369,Male,Nonsmoker,24,8,3.1e-4
t3369,Male,Nonsmoker,24,9,3.3e-4
t3369,Male,Nonsmoker,24,10,4e-4
t3369,Male,Nonsmoker,24,11,4.4e-4
t3369,Male,Nonsmoker,24,12,4.9e-4
t3369,Male,Nonsmoker,24,13,5.3e-4
t3369,Male,Nonsmoker,24,14,6e-4
t3369,Male,Nonsmoker,24,15,6.6e-4
t3369,Male,Nonsmoker,24,16,7.1e-4
t3369,Male,Nonsmoker,24,17,8.3e-4
t3369,Male,Nonsmoker,24,18,9.5e-4
t3369,Male,Nonsmoker,24,19,0.00104
t3369,Male,Nonsmoker,24,20,0.0011
t3369,Male,Nonsmoker,24,21,0.00116
t3369,Male,Nonsmoker,24,22,0.00121
t3369,Male,Nonsmoker,24,23,0.00132
t3369,Male,Nonsmoker,24,24,0.00148
t3369,Male,Nonsmoker,24,25,0.00166
t3369,Male,Nonsmoker,25,1,2.5e-4
t3369,Male,Nonsmoker,25,2,2.6e-4
t3369,Male,Nonsmoker,25,3,2.4e-4
t3369,Male,Nonsmoker,25,4,2.4e-4
t3369,Male,Nonsmoker,25,5,2.4e-4
t3369,Male,Nonsmoker,25,6,2.5e-4
t3369,Male,Nonsmoker,25,7,2.8e-4
t3369,Male,Nonsmoker,25,8,3.1e-4
t3369,Male,Nonsmoker,25,9,3.4e-4
t3369,Male,Nonsmoker,25,10,4.1e-4
t3369,Male,Nonsmoker,25,11,4.6e-4
t3369,Male,Nonsmoker,25,12,5.2e-4
t3369,Male,Nonsmoker,25,13,5.7e-4
t3369,Male,Nonsmoker,25,14,6.3e-4
t3369,Male,Nonsmoker,25,15,7e-4
t3369,Male,Nonsmoker,25,16,7.6e-4
t3369,Male,Nonsmoker,25,17,8.8e-4
t3369,Male,Nonsmoker,25,18,9.9e-4
t3369,Male,Nonsmoker,25,19,0.00106
t3369,Male,Nonsmoker,25,20,0.0011
t3369,Male,Nonsmoker,25,21,0.00117
t3369,Male,Nonsmoker,25,22,0.00125
t3369,Male,Nonsmoker,25,23,0.0014
t3369,Male,Nonsmoker,25,24,0.00158
t3369,Male,Nonsmoker,25,25,0.00176
t3369,Male,Nonsmoker,26,1,2.2e-4
t3369,Male,Nonsmoker,26,2,2.3e-4
t3369,Male,Nonsmoker,26,3,2.2e-4
t3369,Male,Nonsmoker,26,4,2.3e-4
t3369,Male,Nonsmoker,26,5,2.4e-4
t3369,Male,Nonsmoker,26,6,2.5e-4
t3369,Male,Nonsmoker,26,7,2.9e-4
t3369,Male,Nonsmoker,26,8,3.3e-4
t3369,Male,Nonsmoker,26,9,3.6e-4
t3369,Male,Nonsmoker,26,10,4.4e-4
t3369,Male,Nonsmoker,26,11,5e-4
t3369,Male,Nonsmoker,26,12,5.6e-4
t3369,Male,Nonsmoker,26,13,6e-4
t3369,Male,Nonsmoker,26,14,6.8e-4
t3369,Male,Nonsmoker,26,15,7.5e-4
t3369,Male,Nonsmoker,26,16,8.3e-4
t3369,Male,Nonsmoker,26,17,9.4e-4
t3369,Male,Nonsmoker,26,18,0.00104
t3369,Male,Nonsmoker,26,19,0.00109
t3369,Male,Nonsmoker,26,20,0.00113
t3369,Male,Nonsmoker,26,21,0.00121
t3369,Male,Nonsmoker,26,22,0.00134
t3369,Male,Nonsmoker,26,23,0.00151
t3369,Male,Nonsmoker,26,24,0.0017
t3369,Male,Nonsmoker,26,25,0.0019
t3369,Male,Nonsmoker,27,1,1.9e-4
t3369,Male,Nonsmoker,27,2,2.1e-4
t3369,Male,Nonsmoker,27,3,2.1e-4
t3369,Male,Nonsmoker,27,4,2.3e-4
t3369,Male,Nonsmoker,27,5,2.5e-4
t3369,Male,Nonsmoker,27,6,2.7e-4
t3369,Male,Nonsmoker,27,7,3e-4
t3369,Male,Nonsmoker,27,8,3.4e-4
t3369,Male,Nonsmoker,27,9,3.8e-4
t3369,Male,Nonsmoker,27,10,4.7e-4
t3369,Male,Nonsmoker,27,11,5.4e-4
t3369,Male,Nonsmoker,27,12,6e-4
t3369,Male,Nonsmoker,27,13,6.5e-4
t3369,Male,Nonsmoker,27,14,7.3e-4
t3369,Male,Nonsmoker,27,15,8.2e-4
t3369,Male,Nonsmoker,27,16,8.9e-4
t3369,Male,Nonsmoker,27,17,0.001
t3369,Male,Nonsmoker,27,18,0.00107
t3369,Male,Nonsmoker,27,19,0.00112
t3369,Male,Nonsmoker,27,20,0.0012
t3369,Male,Nonsmoker,27,21,0.0013
t3369,Male,Nonsmoker,27,22,0.00146
t3369,Male,Nonsmoker,27,23,0.00164
t3369,Male,Nonsmoker,27,24,0.00185
t3369,Male,Nonsmoker,27,25,0.00207
t3369,Male,Nonsmoker,28,1,1.7e-4
t3369,Male,Nonsmoker,28,2,1.9e-4
t3369,Male,Nonsmoker,28,3,2.1e-4
t3369,Male,Nonsmoker,28,4,2.4e-4
t3369,Male,Nonsmoker,28,5,2.6e-4
t3369,Male,Nonsmoker,28,6,2.9e-4
t3369,Male,Nonsmoker,28,7,3.2e-4
t3369,Male,Nonsmoker,28,8,3.7e-4
t3369,Male,Nonsmoker,28,9,4.1e-4
t3369,Male,Nonsmoker,28,10,5.1e-4
t3369,Male,Nonsmoker,28,11,5.9e-4
t3369,Male,Nonsmoker,28,12,6.5e-4
t3369,Male,Nonsmoker,28,13,7e-4
t3369,Male,Nonsmoker,28,14,7.9e-4
t3369,Male,Nonsmoker,28,15,8.8e-4
t3369,Male,Nonsmoker,28,16,9.5e-4
t3369,Male,Nonsmoker,28,17,0.00104
t3369,Male,Nonsmoker,28,18,0.00112
t3369,Male,Nonsmoker,28,19,0.00119
t3369,Male,Nonsmoker,28,20,0.00128
t3369,Male,Nonsmoker,28,21,0.00142
t3369,Male,Nonsmoker,28,22,0.00159
t3369,Male,Nonsmoker,28,23,0.00179
t3369,Male,Nonsmoker,28,24,0.00201
t3369,Male,Nonsmoker,28,25,0.00226
t3369,Male,Nonsmoker,29,1,1.6e-4
t3369,Male,Nonsmoker,29,2,1.7e-4
t3369,Male,Nonsmoker,29,3,2.1e-4
t3369,Male,Nonsmoker,29,4,2.5e-4
t3369,Male,Nonsmoker,29,5,2.7e-4
t3369,Male,Nonsmoker,29,6,3e-4
t3369,Male,Nonsmoker,29,7,3.4e-4
t3369,Male,Nonsmoker,29,8,3.8e-4
t3369,Male,Nonsmoker,29,9,4.3e-4
t3369,Male,Nonsmoker,29,10,5.4e-4
t3369,Male,Nonsmoker,29,11,6.2e-4
t3369,Male,Nonsmoker,29,12,6.8e-4
t3369,Male,Nonsmoker,29,13,7.3e-4
t3369,Male,Nonsmoker,29,14,8.2e-4
t3369,Male,Nonsmoker,29,15,9e-4
t3369,Male,Nonsmoker,29,16,9.9e-4
t3369,Male,Nonsmoker,29,17,0.0011
t3369,Male,Nonsmoker,29,18,0.00118
t3369,Male,Nonsmoker,29,19,0.00127
t3369,Male,Nonsmoker,29,20,0.00139
t3369,Male,Nonsmoker,29,21,0.00154
t3369,Male,Nonsmoker,29,22,0.00174
t3369,Male,Nonsmoker,29,23,0.00196
t3369,Male,Nonsmoker,29,24,0.0022
t3369,Male,Nonsmoker,29,25,0.00247
t3369,Male,Nonsmoker,30,1,1.4e-4
t3369,Male,Nonsmoker,30,2,1.6e-4
t3369,Male,Nonsmoker,30,3,2.2e-4
t3369,Male,Nonsmoker,30,4,2.5e-4
t3369,Male,Nonsmoker,30,5,2.7e-4
t3369,Male,Nonsmoker,30,6,3e-4
t3369,Male,Nonsmoker,30,7,3.4e-4
t3369,Male,Nonsmoker,30,8,3.9e-4
t3369,Male,Nonsmoker,30,9,4.6e-4
t3369,Male,Nonsmoker,30,10,5.6e-4
t3369,Male,Nonsmoker,30,11,6.3e-4
t3369,Male,Nonsmoker,30,12,6.9e-4
t3369,Male,Nonsmoker,30,13,7.5e-4
t3369,Male,Nonsmoker,30,14,8.4e-4
t3369,Male,Nonsmoker,30,15,9.2e-4
t3369,Male,Nonsmoker,30,16,0.00104
t3369,Male,Nonsmoker,30,17,0.00116
t3369,Male,Nonsmoker,30,18,0.00126
t3369,Male,Nonsmoker,30,19,0.00136
t3369,Male,Nonsmoker,30,20,0.0015
t3369,Male,Nonsmoker,30,21,0.00168
t3369,Male,Nonsmoker,30,22,0.0019
t3369,Male,Nonsmoker,30,23,0.00214
t3369,Male,Nonsmoker,30,24,0.0024
t3369,Male,Nonsmoker,30,25,0.00269
t3369,Male,Nonsmoker,31,1,1.3e-4
