table,gender,tobacco,issue_age,duration,q_sel
t3291,Male,Nonsmoker,24,21,0.0014
t3291,Male,Nonsmoker,24,22,0.00145
t3291,Male,Nonsmoker,24,23,0.00154
t3291,Male,Nonsmoker,24,24,0.00173
t3291,Male,Nonsmoker,24,25,0.00194
t3291,Male,Nonsmoker,25,1,3.3e-4
t3291,Male,Nonsmoker,25,2,3.5e-4
t3291,Male,Nonsmoker,25,3,3.1e-4
t3291,Male,Nonsmoker,25,4,3e-4
t3291,Male,Nonsmoker,25,5,3.1e-4
t3291,Male,Nonsmoker,25,6,3.1e-4
t3291,Male,Nonsmoker,25,7,3.4e-4
t3291,Male,Nonsmoker,25,8,3.8e-4
t3291,Male,Nonsmoker,25,9,4.1e-4
t3291,Male,Nonsmoker,25,10,4.9e-4
t3291,Male,Nonsmoker,25,11,5.4e-4
t3291,Male,Nonsmoker,25,12,6.1e-4
t3291,Male,Nonsmoker,25,13,6.7e-4
t3291,Male,Nonsmoker,25,14,7.4e-4
t3291,Male,Nonsmoker,25,15,8.2e-4
t3291,Male,Nonsmoker,25,16,8.9e-4
t3291,Male,Nonsmoker,25,17,0.00103
t3291,Male,Nonsmoker,25,18,0.00117
t3291,Male,Nonsmoker,25,19,0.00127
t3291,Male,Nonsmoker,25,20,0.00132
t3291,Male,Nonsmoker,25,21,0.0014
t3291,Male,Nonsmoker,25,22,0.00146
t3291,Male,Nonsmoker,25,23,0.00162
t3291,Male,Nonsmoker,25,24,0.00183
t3291,Male,Nonsmoker,25,25,0.00204
t3291,Male,Nonsmoker,26,1,2.8e-4
t3291,Male,Nonsmoker,26,2,3e-4
t3291,Male,Nonsmoker,26,3,2.8e-4
t3291,Male,Nonsmoker,26,4,2.9e-4
t3291,Male,Nonsmoker,26,5,2.9e-4
t3291,Male,Nonsmoker,26,6,3e-4
t3291,Male,Nonsmoker,26,7,3.4e-4
t3291,Male,Nonsmoker,26,8,3.9e-4
t3291,Male,Nonsmoker,26,9,4.2e-4
t3291,Male,Nonsmoker,26,10,5.1e-4
t3291,Male,Nonsmoker,26,11,5.8e-4
t3291,Male,Nonsmoker,26,12,6.5e-4
t3291,Male,Nonsmoker,26,13,7.1e-4
t3291,Male,Nonsmoker,26,14,7.9e-4
t3291,Male,Nonsmoker,26,15,8.7e-4
t3291,Male,Nonsmoker,26,16,9.6e-4
t3291,Male,Nonsmoker,26,17,0.00111
t3291,Male,Nonsmoker,26,18,0.00123
t3291,Male,Nonsmoker,26,19,0.0013
t3291,Male,Nonsmoker,26,20,0.00133
t3291,Male,Nonsmoker,26,21,0.00141
t3291,Male,Nonsmoker,26,22,0.00155
t3291,Male,Nonsmoker,26,23,0.00174
t3291,Male,Nonsmoker,26,24,0.00196
t3291,Male,Nonsmoker,26,25,0.00219
t3291,Male,Nonsmoker,27,1,2.5e-4
t3291,Male,Nonsmoker,27,2,2.7e-4
t3291,Male,Nonsmoker,27,3,2.6e-4
t3291,Male,Nonsmoker,27,4,2.8e-4
t3291,Male,Nonsmoker,27,5,2.9e-4
t3291,Male,Nonsmoker,27,6,3.1e-4
t3291,Male,Nonsmoker,27,7,3.6e-4
t3291,Male,Nonsmoker,27,8,4.1e-4
t3291,Male,Nonsmoker,27,9,4.4e-4
t3291,Male,Nonsmoker,27,10,5.5e-4
t3291,Male,Nonsmoker,27,11,6.3e-4
t3291,Male,Nonsmoker,27,12,7e-4
t3291,Male,Nonsmoker,27,13,7.6e-4
t3291,Male,Nonsmoker,27,14,8.5e-4
t3291,Male,Nonsmoker,27,15,9.5e-4
t3291,Male,Nonsmoker,27,16,0.00104
t3291,Male,Nonsmoker,27,17,0.00118
t3291,Male,Nonsmoker,27,18,0.00127
t3291,Male,Nonsmoker,27,19,0.00132
t3291,Male,Nonsmoker,27,20,0.00139
t3291,Male,Nonsmoker,27,21,0.0015
t3291,Male,Nonsmoker,27,22,0.00168
t3291,Male,Nonsmoker,27,23,0.00189
t3291,Male,Nonsmoker,27,24,0.00212
t3291,Male,Nonsmoker,27,25,0.00237
t3291,Male,Nonsmoker,28,1,2.2e-4
t3291,Male,Nonsmoker,28,2,2.4e-4
t3291,Male,Nonsmoker,28,3,2.5e-4
t3291,Male,Nonsmoker,28,4,2.9e-4
t3291,Male,Nonsmoker,28,5,3.1e-4
t3291,Male,Nonsmoker,28,6,3.4e-4
t3291,Male,Nonsmoker,28,7,3.8e-4
t3291,Male,Nonsmoker,28,8,4.3e-4
t3291,Male,Nonsmoker,28,9,4.8e-4
t3291,Male,Nonsmoker,28,10,6e-4
t3291,Male,Nonsmoker,28,11,6.8e-4
t3291,Male,Nonsmoker,28,12,7.6e-4
t3291,Male,Nonsmoker,28,13,8.2e-4
t3291,Male,Nonsmoker,28,14,9.2e-4
t3291,Male,Nonsmoker,28,15,0.00102
t3291,Male,Nonsmoker,28,16,0.00111
t3291,Male,Nonsmoker,28,17,0.00124
t3291,Male,Nonsmoker,28,18,0.00131
t3291,Male,Nonsmoker,28,19,0.00139
t3291,Male,Nonsmoker,28,20,0.00149
t3291,Male,Nonsmoker,28,21,0.00163
t3291,Male,Nonsmoker,28,22,0.00183
t3291,Male,Nonsmoker,28,23,0.00206
t3291,Male,Nonsmoker,28,24,0.00231
t3291,Male,Nonsmoker,28,25,0.00258
t3291,Male,Nonsmoker,29,1,2e-4
t3291,Male,Nonsmoker,29,2,2.3e-4
t3291,Male,Nonsmoker,29,3,2.6e-4
t3291,Male,Nonsmoker,29,4,3e-4
t3291,Male,Nonsmoker,29,5,3.3e-4
t3291,Male,Nonsmoker,29,6,3.7e-4
t3291,Male,Nonsmoker,29,7,4.1e-4
t3291,Male,Nonsmoker,29,8,4.6e-4
t3291,Male,Nonsmoker,29,9,5.2e-4
t3291,Male,Nonsmoker,29,10,6.5e-4
t3291,Male,Nonsmoker,29,11,7.4e-4
t3291,Male,Nonsmoker,29,12,8.2e-4
t3291,Male,Nonsmoker,29,13,8.8e-4
t3291,Male,Nonsmoker,29,14,9.9e-4
t3291,Male,Nonsmoker,29,15,0.00109
t3291,Male,Nonsmoker,29,16,0.00117
t3291,Male,Nonsmoker,29,17,0.00128
t3291,Male,Nonsmoker,29,18,0.00138
t3291,Male,Nonsmoker,29,19,0.00148
t3291,Male,Nonsmoker,29,20,0.0016
t3291,Male,Nonsmoker,29,21,0.00177
t3291,Male,Nonsmoker,29,22,0.002
t3291,Male,Nonsmoker,29,23,0.00224
t3291,Male,Nonsmoker,29,24,0.00252
t3291,Male,Nonsmoker,29,25,0.00283
t3291,Male,Nonsmoker,30,1,1.9e-4
t3291,Male,Nonsmoker,30,2,2e-4
t3291,Male,Nonsmoker,30,3,2.6e-4
t3291,Male,Nonsmoker,30,4,3e-4
t3291,Male,Nonsmoker,30,5,3.3e-4
t3291,Male,Nonsmoker,30,6,3.7e-4
t3291,Male,Nonsmoker,30,7,4.1e-4
t3291,Male,Nonsmoker,30,8,4.7e-4
t3291,Male,Nonsmoker,30,9,5.3e-4
t3291,Male,Nonsmoker,30,10,6.6e-4
t3291,Male,Nonsmoker,30,11,7.5e-4
t3291,Male,Nonsmoker,30,12,8.2e-4
t3291,Male,Nonsmoker,30,13,8.8e-4
t3291,Male,Nonsmoker,30,14,0.001
t3291,Male,Nonsmoker,30,15,0.00109
t3291,Male,Nonsmoker,30,16,0.00122
t3291,Male,Nonsmoker,30,17,0.00136
t3291,Male,Nonsmoker,30,18,0.00147
t3291,Male,Nonsmoker,30,19,0.00158
t3291,Male,Nonsmoker,30,20,0.00173
t3291,Male,Nonsmoker,30,21,0.00193
t3291,Male,Nonsmoker,30,22,0.00218
t3291,Male,Nonsmoker,30,23,0.00245
t3291,Male,Nonsmoker,30,24,0.00275
t3291,Male,Nonsmoker,30,25,0.00308
t3291,Male,Nonsmoker,31,1,1.6e-4
t3291,Male,Nonsmoker,31,2,1.8e-4
t3291,Male,Nonsmoker,31,3,2.6e-4
t3291,Male,Nonsmoker,31,4,3.1e-4
t3291,Male,Nonsmoker,31,5,3.4e-4
t3291,Male,Nonsmoker,31,6,3.7e-4
t3291,Male,Nonsmoker,31,7,4.1e-4
t3291,Male,Nonsmoker,31,8,4.8e-4
t3291,Male,Nonsmoker,31,9,5.8e-4
t3291,Male,Nonsmoker,31,10,6.9e-4
t3291,Male,Nonsmoker,31,11,7.7e-4
t3291,Male,Nonsmoker,31,12,8.4e-4
t3291,Male,Nonsmoker,31,13,9.2e-4
t3291,Male,Nonsmoker,31,14,0.00102
t3291,Male,Nonsmoker,31,15,0.00113
t3291,Male,Nonsmoker,31,16,0.00129
t3291,Male,Nonsmoker,31,17,0.00144
t3291,Male,Nonsmoker,31,18,0.00156
t3291,Male,Nonsmoker,31,19,0.00169
t3291,Male,Nonsmoker,31,20,0.00187
t3291,Male,Nonsmoker,31,21,0.0021
t3291,Male,Nonsmoker,31,22,0.00237
t3291,Male,Nonsmoker,31,23,0.00267
t3291,Male,Nonsmoker,31,24,0.003
t3291,Male,Nonsmoker,31,25,0.00334
t3291,Male,Nonsmoker,32,1,1.6e-4
t3291,Male,Nonsmoker,32,2,1.8e-4
t3291,Male,Nonsmoker,32,3,2.7e-4
t3291,Male,Nonsmoker,32,4,3.2e-4
t3291,Male,Nonsmoker,32,5,3.5e-4
t3291,Male,Nonsmoker,32,6,3.8e-4
t3291,Male,Nonsmoker,32,7,4.5e-4
t3291,Male,Nonsmoker,32,8,5.2e-4
t3291,Male,Nonsmoker,32,9,6.4e-4
t3291,Male,Nonsmoker,32,10,7.5e-4
t3291,Male,Nonsmoker,32,11,8.2e-4
t3291,Male,Nonsmoker,32,12,8.8e-4
t3291,Male,Nonsmoker,32,13,9.7e-4
t3291,Male,Nonsmoker,32,14,0.00107
t3291,Male,Nonsmoker,32,15,0.00121
t3291,Male,Nonsmoker,32,16,0.00137
t3291,Male,Nonsmoker,32,17,0.00153
t3291,Male,Nonsmoker,32,18,0.00166
t3291,Male,Nonsmoker,32,19,0.00182
t3291,Male,Nonsmoker,32,20,0.00202
t3291,Male,Nonsmoker,32,21,0.00228
t3291,Male,Nonsmoker,32,22,0.00258
t3291,Male,Nonsmoker,32,23,0.00291
t3291,Male,Nonsmoker,32,24,0.00325
t3291,Male,Nonsmoker,32,25,0.00359
t3291,Male,Nonsmoker,33,1,1.7e-4
t3291,Male,Nonsmoker,33,2,1.9e-4
t3291,Male,Nonsmoker,33,3,2.9e-4
t3291,Male,Nonsmoker,33,4,3.4e-4
t3291,Male,Nonsmoker,33,5,3.7e-4
t3291,Male,Nonsmoker,33,6,4.2e-4
t3291,Male,Nonsmoker,33,7,4.9e-4
t3291,Male,Nonsmoker,33,8,5.8e-4
t3291,Male,Nonsmoker,33,9,7e-4
t3291,Male,Nonsmoker,33,10,8e-4
t3291,Male,Nonsmoker,33,11,8.6e-4
t3291,Male,Nonsmoker,33,12,9.2e-4
t3291,Male,Nonsmoker,33,13,0.00101
t3291,Male,Nonsmoker,33,14,0.00114
t3291,Male,Nonsmoker,33,15,0.00129
t3291,Male,Nonsmoker,33,16,0.00146
t3291,Male,Nonsmoker,33,17,0.00163
t3291,Male,Nonsmoker,33,18,0.00178
t3291,Male,Nonsmoker,33,19,0.00196
t3291,Male,Nonsmoker,33,20,0.00218
t3291,Male,Nonsmoker,33,21,0.00247
t3291,Male,Nonsmoker,33,22,0.00281
t3291,Male,Nonsmoker,33,23,0.00316
t3291,Male,Nonsmoker,33,24,0.00351
t3291,Male,Nonsmoker,33,25,0.00383
t3291,Male,Nonsmoker,34,1,1.7e-4
t3291,Male,Nonsmoker,34,2,2e-4
t3291,Male,Nonsmoker,34,3,3.1e-4
t3291,Male,Nonsmoker,34,4,3.6e-4
t3291,Male,Nonsmoker,34,5,4e-4
t3291,Male,Nonsmoker,34,6,4.7e-4
t3291,Male,Nonsmoker,34,7,5.4e-4
t3291,Male,Nonsmoker,34,8,6.4e-4
t3291,Male,Nonsmoker,34,9,7.6e-4
t3291,Male,Nonsmoker,34,10,8.4e-4
t3291,Male,Nonsmoker,34,11,9e-4
t3291,Male,Nonsmoker,34,12,9.6e-4
t3291,Male,Nonsmoker,34,13,0.00108
t3291,Male,Nonsmoker,34,14,0.00123
t3291,Male,Nonsmoker,34,15,0.00138
t3291,Male,Nonsmoker,34,16,0.00156
t3291,Male,Nonsmoker,34,17,0.00173
t3291,Male,Nonsmoker,34,18,0.0019
t3291,Male,Nonsmoker,34,19,0.0021
t3291,Male,Nonsmoker,34,20,0.00236
t3291,Male,Nonsmoker,34,21,0.00269
t3291,Male,Nonsmoker,34,22,0.00306
t3291,Male,Nonsmoker,34,23,0.00343
t3291,Male,Nonsmoker,34,24,0.00378
t3291,Male,Nonsmoker,34,25,0.00408
t3291,Male,Nonsmoker,35,1,1.8e-4
t3291,Male,Nonsmoker,35,2,2.1e-4
t3291,Male,Nonsmoker,35,3,3.3e-4
t3291,Male,Nonsmoker,35,4,3.9e-4
t3291,Male,Nonsmoker,35,5,4.5e-4
t3291,Male,Nonsmoker,35,6,5.1e-4
t3291,Male,Nonsmoker,35,7,5.7e-4
t3291,Male,Nonsmoker,35,8,7e-4
t3291,Male,Nonsmoker,35,9,8e-4
t3291,Male,Nonsmoker,35,10,8.8e-4
t3291,Male,Nonsmoker,35,11,0.00093000000000000005
