table,gender,issue_age,duration,q_sel
t3361,Male,3,11,1.3e-4
t3361,Male,3,12,1.9e-4
t3361,Male,3,13,2.8e-4
t3361,Male,3,14,4.1e-4
t3361,Male,3,15,5.6e-4
t3361,Male,3,16,7e-4
t3361,Male,3,17,8e-4
t3361,Male,3,18,8.4e-4
t3361,Male,3,19,8.6e-4
t3361,Male,3,20,8.6e-4
t3361,Male,3,21,8.6e-4
t3361,Male,3,22,8.6e-4
t3361,Male,3,23,8.6e-4
t3361,Male,3,24,8.6e-4
t3361,Male,3,25,8.5e-4
t3361,Male,4,1,9e-5
t3361,Male,4,2,8e-5
t3361,Male,4,3,8e-5
t3361,Male,4,4,8e-5
t3361,Male,4,5,8e-5
t3361,Male,4,6,7e-5
t3361,Male,4,7,8e-5
t3361,Male,4,8,8e-5
t3361,Male,4,9,1e-4
t3361,Male,4,10,1.3e-4
t3361,Male,4,11,1.9e-4
t3361,Male,4,12,2.8e-4
t3361,Male,4,13,4.1e-4
t3361,Male,4,14,5.6e-4
t3361,Male,4,15,7e-4
t3361,Male,4,16,8e-4
t3361,Male,4,17,8.4e-4
t3361,Male,4,18,8.6e-4
t3361,Male,4,19,8.6e-4
t3361,Male,4,20,8.6e-4
t3361,Male,4,21,8.6e-4
t3361,Male,4,22,8.6e-4
t3361,Male,4,23,8.6e-4
t3361,Male,4,24,8.5e-4
t3361,Male,4,25,8.3e-4
t3361,Male,5,1,8e-5
t3361,Male,5,2,8e-5
t3361,Male,5,3,8e-5
t3361,Male,5,4,8e-5
t3361,Male,5,5,7e-5
t3361,Male,5,6,8e-5
t3361,Male,5,7,8e-5
t3361,Male,5,8,1e-4
t3361,Male,5,9,1.3e-4
t3361,Male,5,10,1.9e-4
t3361,Male,5,11,2.8e-4
t3361,Male,5,12,4.1e-4
t3361,Male,5,13,5.6e-4
t3361,Male,5,14,7e-4
t3361,Male,5,15,8e-4
t3361,Male,5,16,8.4e-4
t3361,Male,5,17,8.6e-4
t3361,Male,5,18,8.6e-4
t3361,Male,5,19,8.6e-4
t3361,Male,5,20,8.6e-4
t3361,Male,5,21,8.6e-4
t3361,Male,5,22,8.6e-4
t3361,Male,5,23,8.5e-4
t3361,Male,5,24,8.3e-4
t3361,Male,5,25,8.2e-4
t3361,Male,6,1,8e-5
t3361,Male,6,2,8e-5
t3361,Male,6,3,8e-5
t3361,Male,6,4,7e-5
t3361,Male,6,5,8e-5
t3361,Male,6,6,8e-5
t3361,Male,6,7,1e-4
t3361,Male,6,8,1.3e-4
t3361,Male,6,9,1.9e-4
t3361,Male,6,10,2.8e-4
t3361,Male,6,11,4.1e-4
t3361,Male,6,12,5.6e-4
t3361,Male,6,13,7e-4
t3361,Male,6,14,8e-4
t3361,Male,6,15,8.4e-4
t3361,Male,6,16,8.6e-4
t3361,Male,6,17,8.6e-4
t3361,Male,6,18,8.6e-4
t3361,Male,6,19,8.6e-4
t3361,Male,6,20,8.6e-4
t3361,Male,6,21,8.6e-4
t3361,Male,6,22,8.5e-4
t3361,Male,6,23,8.3e-4
t3361,Male,6,24,8.2e-4
t3361,Male,6,25,8.2e-4
t3361,Male,7,1,8e-5
t3361,Male,7,2,8e-5
t3361,Male,7,3,7e-5
t3361,Male,7,4,8e-5
t3361,Male,7,5,8e-5
t3361,Male,7,6,1e-4
t3361,Male,7,7,1.3e-4
t3361,Male,7,8,1.9e-4
t3361,Male,7,9,2.8e-4
t3361,Male,7,10,4.1e-4
t3361,Male,7,11,5.6e-4
t3361,Male,7,12,7e-4
t3361,Male,7,13,8e-4
t3361,Male,7,14,8.4e-4
t3361,Male,7,15,8.6e-4
t3361,Male,7,16,8.6e-4
t3361,Male,7,17,8.6e-4
t3361,Male,7,18,8.6e-4
t3361,Male,7,19,8.6e-4
t3361,Male,7,20,8.6e-4
t3361,Male,7,21,8.5e-4
t3361,Male,7,22,8.3e-4
t3361,Male,7,23,8.2e-4
t3361,Male,7,24,8.2e-4
t3361,Male,7,25,8.6e-4
t3361,Male,8,1,8e-5
t3361,Male,8,2,7e-5
t3361,Male,8,3,8e-5
t3361,Male,8,4,8e-5
t3361,Male,8,5,1e-4
t3361,Male,8,6,1.3e-4
t3361,Male,8,7,1.9e-4
t3361,Male,8,8,2.8e-4
t3361,Male,8,9,4.1e-4
t3361,Male,8,10,5.6e-4
t3361,Male,8,11,7e-4
t3361,Male,8,12,8e-4
t3361,Male,8,13,8.4e-4
t3361,Male,8,14,8.6e-4
t3361,Male,8,15,8.6e-4
t3361,Male,8,16,8.6e-4
t3361,Male,8,17,8.6e-4
t3361,Male,8,18,8.6e-4
t3361,Male,8,19,8.6e-4
t3361,Male,8,20,8.5e-4
t3361,Male,8,21,8.3e-4
t3361,Male,8,22,8.2e-4
t3361,Male,8,23,8.2e-4
t3361,Male,8,24,8.6e-4
t3361,Male,8,25,9.1e-4
t3361,Male,9,1,7e-5
t3361,Male,9,2,8e-5
t3361,Male,9,3,8e-5
t3361,Male,9,4,1e-4
t3361,Male,9,5,1.3e-4
t3361,Male,9,6,1.9e-4
t3361,Male,9,7,2.8e-4
t3361,Male,9,8,4.1e-4
t3361,Male,9,9,5.6e-4
t3361,Male,9,10,7e-4
t3361,Male,9,11,8e-4
t3361,Male,9,12,8.4e-4
t3361,Male,9,13,8.6e-4
t3361,Male,9,14,8.6e-4
t3361,Male,9,15,8.6e-4
t3361,Male,9,16,8.6e-4
t3361,Male,9,17,8.6e-4
t3361,Male,9,18,8.6e-4
t3361,Male,9,19,8.5e-4
t3361,Male,9,20,8.3e-4
t3361,Male,9,21,8.2e-4
t3361,Male,9,22,8.2e-4
t3361,Male,9,23,8.6e-4
t3361,Male,9,24,9.1e-4
t3361,Male,9,25,9.8e-4
t3361,Male,10,1,8e-5
t3361,Male,10,2,8e-5
t3361,Male,10,3,1e-4
t3361,Male,10,4,1.3e-4
t3361,Male,10,5,1.9e-4
t3361,Male,10,6,2.8e-4
t3361,Male,10,7,4.1e-4
t3361,Male,10,8,5.6e-4
t3361,Male,10,9,7e-4
t3361,Male,10,10,8e-4
t3361,Male,10,11,8.4e-4
t3361,Male,10,12,8.6e-4
t3361,Male,10,13,8.6e-4
t3361,Male,10,14,8.6e-4
t3361,Male,10,15,8.6e-4
t3361,Male,10,16,8.6e-4
t3361,Male,10,17,8.6e-4
t3361,Male,10,18,8.5e-4
t3361,Male,10,19,8.3e-4
t3361,Male,10,20,8.2e-4
t3361,Male,10,21,8.2e-4
t3361,Male,10,22,8.6e-4
t3361,Male,10,23,9.1e-4
t3361,Male,10,24,9.8e-4
t3361,Male,10,25,0.00106
t3361,Male,11,1,8e-5
t3361,Male,11,2,1e-4
t3361,Male,11,3,1.3e-4
t3361,Male,11,4,1.9e-4
t3361,Male,11,5,2.8e-4
t3361,Male,11,6,4.1e-4
t3361,Male,11,7,5.6e-4
t3361,Male,11,8,7e-4
t3361,Male,11,9,8e-4
t3361,Male,11,10,8.4e-4
t3361,Male,11,11,8.6e-4
t3361,Male,11,12,8.6e-4
t3361,Male,11,13,8.6e-4
t3361,Male,11,14,8.6e-4
t3361,Male,11,15,8.6e-4
t3361,Male,11,16,8.6e-4
t3361,Male,11,17,8.5e-4
t3361,Male,11,18,8.3e-4
t3361,Male,11,19,8.2e-4
t3361,Male,11,20,8.2e-4
t3361,Male,11,21,8.6e-4
t3361,Male,11,22,9.1e-4
t3361,Male,11,23,9.8e-4
t3361,Male,11,24,0.00106
t3361,Male,11,25,0.00115
t3361,Male,12,1,1e-4
t3361,Male,12,2,1.3e-4
t3361,Male,12,3,1.9e-4
t3361,Male,12,4,2.8e-4
t3361,Male,12,5,4.1e-4
t3361,Male,12,6,5.6e-4
t3361,Male,12,7,7e-4
t3361,Male,12,8,8e-4
t3361,Male,12,9,8.4e-4
t3361,Male,12,10,8.6e-4
t3361,Male,12,11,8.6e-4
t3361,Male,12,12,8.6e-4
t3361,Male,12,13,8.6e-4
t3361,Male,12,14,8.6e-4
t3361,Male,12,15,8.6e-4
t3361,Male,12,16,8.5e-4
t3361,Male,12,17,8.3e-4
t3361,Male,12,18,8.2e-4
t3361,Male,12,19,8.2e-4
t3361,Male,12,20,8.6e-4
t3361,Male,12,21,9.1e-4
t3361,Male,12,22,9.8e-4
t3361,Male,12,23,0.00106
t3361,Male,12,24,0.00115
t3361,Male,12,25,0.00125
t3361,Male,13,1,1.3e-4
t3361,Male,13,2,1.9e-4
t3361,Male,13,3,2.8e-4
t3361,Male,13,4,4.1e-4
t3361,Male,13,5,5.6e-4
t3361,Male,13,6,7e-4
t3361,Male,13,7,8e-4
t3361,Male,13,8,8.4e-4
t3361,Male,13,9,8.6e-4
t3361,Male,13,10,8.6e-4
t3361,Male,13,11,8.6e-4
t3361,Male,13,12,8.6e-4
t3361,Male,13,13,8.6e-4
t3361,Male,13,14,8.6e-4
t3361,Male,13,15,8.5e-4
t3361,Male,13,16,8.3e-4
t3361,Male,13,17,8.2e-4
t3361,Male,13,18,8.2e-4
t3361,Male,13,19,8.6e-4
t3361,Male,13,20,9.1e-4
t3361,Male,13,21,9.8e-4
t3361,Male,13,22,0.00106
t3361,Male,13,23,0.00115
t3361,Male,13,24,0.00125
t3361,Male,13,25,0.00135
t3361,Male,14,1,1.9e-4
t3361,Male,14,2,2.8e-4
t3361,Male,14,3,4.1e-4
t3361,Male,14,4,5.6e-4
t3361,Male,14,5,7e-4
t3361,Male,14,6,8e-4
t3361,Male,14,7,8.4e-4
t3361,Male,14,8,8.6e-4
t3361,Male,14,9,8.6e-4
t3361,Male,14,10,8.6e-4
t3361,Male,14,11,8.6e-4
t3361,Male,14,12,8.6e-4
t3361,Male,14,13,8.6e-4
t3361,Male,14,14,8.5e-4
t3361,Male,14,15,8.3e-4
t3361,Male,14,16,8.2e-4
t3361,Male,14,17,8.2e-4
t3361,Male,14,18,8.6e-4
t3361,Male,14,19,9.1e-4
t3361,Male,14,20,9.8e-4
t3361,Male,14,21,0.00106
t3361,Male,14,22,0.00115
t3361,Male,14,23,0.00125
t3361,Male,14,24,0.00135
t3361,Male,14,25,0.00146
t3361,Male,15,1,2.8e-4
t3361,Male,15,2,4.1e-4
t3361,Male,15,3,5.6e-4
t3361,Male,15,4,7e-4
t3361,Male,15,5,8e-4
t3361,Male,15,6,8.4e-4
t3361,Male,15,7,8.6e-4
t3361,Male,15,8,8.6e-4
t3361,Male,15,9,8.6e-4
t3361,Male,15,10,8.6e-4
t3361,Male,15,11,8.6e-4
t3361,Male,15,12,8.6e-4
t3361,Male,15,13,8.5e-4
t3361,Male,15,14,8.3e-4
t3361,Male,15,15,8.2e-4
t3361,Male,15,16,8.2e-4
t3361,Male,15,17,8.6e-4
t3361,Male,15,18,9.1e-4
t3361,Male,15,19,9.8e-4
t3361,Male,15,20,0.00106
t3361,Male,15,21,0.00115
t3361,Male,15,22,0.00125
t3361,Male,15,23,0.00135
t3361,Male,15,24,0.00146
t3361,Male,15,25,0.00157
t3361,Male,16,1,4.1e-4
t3361,Male,16,2,5.6e-4
t3361,Male,16,3,7e-4
t3361,Male,16,4,8e-4
t3361,Male,16,5,8.4e-4
t3361,Male,16,6,8.6e-4
t3361,Male,16,7,8.6e-4
t3361,Male,16,8,8.6e-4
t3361,Male,16,9,8.6e-4
t3361,Male,16,10,8.6e-4
t3361,Male,16,11,8.6e-4
t3361,Male,16,12,8.5e-4
t3361,Male,16,13,8.3e-4
t3361,Male,16,14,8.2e-4
t3361,Male,16,15,8.2e-4
t3361,Male,16,16,8.6e-4
t3361,Male,16,17,9.1e-4
t3361,Male,16,18,9.8e-4
t3361,Male,16,19,0.00106
t3361,Male,16,20,0.00115
t3361,Male,16,21,0.00125
t3361,Male,16,22,0.00135
t3361,Male,16,23,0.00146
t3361,Male,16,24,0.00157
t3361,Male,16,25,0.0017
t3361,Male,17,1,5.6e-4
t3361,Male,17,2,7e-4
t3361,Male,17,3,8e-4
t3361,Male,17,4,8.4e-4
t3361,Male,17,5,8.6e-4
t3361,Male,17,6,8.6e-4
t3361,Male,17,7,8.6e-4
t3361,Male,17,8,8.6e-4
t3361,Male,17,9,8.6e-4
t3361,Male,17,10,8.6e-4
t3361,Male,17,11,8.5e-4
t3361,Male,17,12,8.3e-4
t3361,Male,17,13,8.2e-4
t3361,Male,17,14,8.2e-4
t3361,Male,17,15,8.6e-4
t3361,Male,17,16,9.1e-4
t3361,Male,17,17,9.8e-4
t3361,Male,17,18,0.00106
t3361,Male,17,19,0.00115
t3361,Male,17,20,0.00125
t3361,Male,17,21,0.00135
t3361,Male,17,22,0.00146
t3361,Male,17,23,0.00157
t3361,Male,17,24,0.0017
t3361,Male,17,25,0.00183
t3361,Male,18,1,6.7e-4
t3361,Male,18,2,7e-4
t3361,Male,18,3,7.3e-4
t3361,Male,18,4,7.5e-4
t3361,Male,18,5,7.6e-4
t3361,Male,18,6,7.6e-4
t3361,Male,18,7,7.7e-4
t3361,Male,18,8,7.8e-4
t3361,Male,18,9,7.2e-4
t3361,Male,18,10,7.1e-4
t3361,Male,18,11,6.7e-4
t3361,Male,18,12,6.5e-4
t3361,Male,18,13,6.4e-4
t3361,Male,18,14,6.6e-4
t3361,Male,18,15,7e-4
t3361,Male,18,16,7.7e-4
t3361,Male,18,17,8.5e-4
t3361,Male,18,18,9.4e-4
t3361,Male,18,19,0.00106
t3361,Male,18,20,0.00116
t3361,Male,18,21,0.00127
t3361,Male,18,22,0.0014
t3361,Male,18,23,0.00154
t3361,Male,18,24,0.00169
t3361,Male,18,25,0.00185
t3361,Male,19,1,6.3e-4
t3361,Male,19,2,6.6e-4
t3361,Male,19,3,6.8e-4
t3361,Male,19,4,6.7e-4
t3361,Male,19,5,6.8e-4
t3361,Male,19,6,7e-4
t3361,Male,19,7,7.1e-4
t3361,Male,19,8,6.9e-4
t3361,Male,19,9,6.5e-4
t3361,Male,19,10,6.1e-4
t3361,Male,19,11,6.2e-4
t3361,Male,19,12,6.1e-4
t3361,Male,19,13,6.2e-4
t3361,Male,19,14,6.7e-4
t3361,Male,19,15,7.3e-4
t3361,Male,19,16,7.8e-4
t3361,Male,19,17,8.6e-4
t3361,Male,19,18,9.7e-4
t3361,Male,19,19,0.00108
t3361,Male,19,20,0.00122
t3361,Male,19,21,0.00136
t3361,Male,19,22,0.00149
t3361,Male,19,23,0.00164
t3361,Male,19,24,0.00178
t3361,Male,19,25,0.00192
t3361,Male,20,1,5.7e-4
t3361,Male,20,2,5.9e-4
t3361,Male,20,3,6.3e-4
t3361,Male,20,4,6.3e-4
t3361,Male,20,5,6.3e-4
t3361,Male,20,6,6.3e-4
t3361,Male,20,7,6.3e-4
t3361,Male,20,8,6.1e-4
t3361,Male,20,9,5.8e-4
t3361,Male,20,10,5.8e-4
t3361,Male,20,11,5.8e-4
t3361,Male,20,12,5.9e-4
t3361,Male,20,13,6.3e-4
t3361,Male,20,14,6.8e-4
t3361,Male,20,15,7.5e-4
t3361,Male,20,16,8e-4
t3361,Male,20,17,9e-4
t3361,Male,20,18,0.001
t3361,Male,20,19,0.00115
t3361,Male,20,20,0.0013
t3361,Male,20,21,0.00146
t3361,Male,20,22,0.00159
t3361,Male,20,23,0.00173
t3361,Male,20,24,0.0018600000000000001
t3361,Male,20,25,0.00199
t3361,Male,21,1,5e-4
t3361,Male,21,2,5.7e-4
t3361,Male,21,3,5.5e-4
t3361,Male,21,4,5.4e-4
t3361,Male,21,5,5.4e-4
t3361,Male,21,6,5.5e-4
t3361,Male,21,7,5.5e-4
t3361,Male,21,8,5.4e-4
t3361,Male,21,9,5.2e-4
t3361,Male,21,10,5.4e-4
t3361,Male,21,11,5.6e-4
t3361,Male,21,12,6e-4
t3361,Male,21,13,6.4e-4
t3361,Male,21,14,7e-4
t3361,Male,21,15,7.6e-4
t3361,Male,21,16,8.3e-4
t3361,Male,21,17,9.2e-4
t3361,Male,21,18,0.00107
t3361,Male,21,19,0.00122
t3361,Male,21,20,0.00138
t3361,Male,21,21,0.00152
t3361,Male,21,22,0.00165
t3361,Male,21,23,0.00177
t3361,Male,21,24,0.0019
t3361,Male,21,25,0.00202
t3361,Male,22,1,4.7e-4
t3361,Male,22,2,4.9e-4
t3361,Male,22,3,4.7e-4
t3361,Male,22,4,4.7e-4
t3361,Male,22,5,4.8e-4
t3361,Male,22,6,4.9e-4
t3361,Male,22,7,4.9e-4
t3361,Male,22,8,4.8e-4
t3361,Male,22,9,4.9e-4
t3361,Male,22,10,5.3e-4
t3361,Male,22,11,5.6e-4
t3361,Male,22,12,6.1e-4
t3361,Male,22,13,6.5e-4
t3361,Male,22,14,7.2e-4
t3361,Male,22,15,7.9e-4
t3361,Male,22,16,8.6e-4
t3361,Male,22,17,0.001
t3361,Male,22,18,0.00114
t3361,Male,22,19,0.0013
t3361,Male,22,20,0.00146
t3361,Male,22,21,0.00158
t3361,Male,22,22,0.00169
t3361,Male,22,23,0.00179
t3361,Male,22,24,0.00191
t3361,Male,22,25,0.00207
t3361,Male,23,1,4.1e-4
t3361,Male,23,2,4.3e-4
t3361,Male,23,3,4.1e-4
t3361,Male,23,4,4.2e-4
t3361,Male,23,5,4.3e-4
t3361,Male,23,6,4.3e-4
t3361,Male,23,7,4.4e-4
t3361,Male,23,8,4.5e-4
t3361,Male,23,9,4.7e-4
t3361,Male,23,10,5.3e-4
t3361,Male,23,11,5.7e-4
t3361,Male,23,12,6.2e-4
t3361,Male,23,13,6.7e-4
t3361,Male,23,14,7.5e-4
t3361,Male,23,15,8.2e-4
t3361,Male,23,16,9.4e-4
t3361,Male,23,17,0.00106
t3361,Male,23,18,0.00121
t3361,Male,23,19,0.00137
t3361,Male,23,20,0.00151
t3361,Male,23,21,0.00161
t3361,Male,23,22,0.0017
t3361,Male,23,23,0.00179
t3361,Male,23,24,0.00194
t3361,Male,23,25,0.00212
t3361,Male,24,1,3.6e-4
t3361,Male,24,2,3.8e-4
t3361,Male,24,3,3.7e-4
t3361,Male,24,4,3.7e-4
t3361,Male,24,5,3.8e-4
t3361,Male,24,6,3.9e-4
t3361,Male,24,7,4e-4
t3361,Male,24,8,4.3e-4
t3361,Male,24,9,4.7e-4
t3361,Male,24,10,5.3e-4
t3361,Male,24,11,5.8e-4
t3361,Male,24,12,6.3e-4
t3361,Male,24,13,7e-4
t3361,Male,24,14,7.7e-4
t3361,Male,24,15,9e-4
t3361,Male,24,16,9.9e-4
t3361,Male,24,17,0.00113
t3361,Male,24,18,0.00128
t3361,Male,24,19,0.00143
t3361,Male,24,20,0.00153
t3361,Male,24,21,0.00162
t3361,Male,24,22,0.00172
t3361,Male,24,23,0.0018
t3361,Male,24,24,0.00197
t3361,Male,24,25,0.00215
t3361,Male,25,1,3.2e-4
t3361,Male,25,2,3.4e-4
t3361,Male,25,3,3.3e-4
t3361,Male,25,4,3.4e-4
t3361,Male,25,5,3.5e-4
t3361,Male,25,6,3.6e-4
t3361,Male,25,7,3.9e-4
t3361,Male,25,8,4.4e-4
t3361,Male,25,9,4.8e-4
t3361,Male,25,10,5.5e-4
t3361,Male,25,11,6e-4
t3361,Male,25,12,6.7e-4
t3361,Male,25,13,7.3e-4
t3361,Male,25,14,8.5e-4
t3361,Male,25,15,9.5e-4
t3361,Male,25,16,0.00106
t3361,Male,25,17,0.00121
t3361,Male,25,18,0.00136
t3361,Male,25,19,0.00148
t3361,Male,25,20,0.00156
t3361,Male,25,21,0.00164
t3361,Male,25,22,0.00173
t3361,Male,25,23,0.00188
t3361,Male,25,24,0.00206
t3361,Male,25,25,0.00225
t3361,Male,26,1,2.8e-4
t3361,Male,26,2,3.1e-4
t3361,Male,26,3,3.1e-4
t3361,Male,26,4,3.2e-4
t3361,Male,26,5,3.3e-4
t3361,Male,26,6,3.6e-4
t3361,Male,26,7,4e-4
t3361,Male,26,8,4.5e-4
t3361,Male,26,9,4.9e-4
t3361,Male,26,10,5.7e-4
t3361,Male,26,11,6.3e-4
t3361,Male,26,12,7e-4
t3361,Male,26,13,7.9e-4
t3361,Male,26,14,9.1e-4
t3361,Male,26,15,0.00102
t3361,Male,26,16,0.00114
t3361,Male,26,17,0.00129
t3361,Male,26,18,0.00142
t3361,Male,26,19,0.00151
t3361,Male,26,20,0.00157
t3361,Male,26,21,0.00167
t3361,Male,26,22,0.0018
t3361,Male,26,23,0.00197
t3361,Male,26,24,0.00216
t3361,Male,26,25,0.00237
t3361,Male,27,1,2.5e-4
t3361,Male,27,2,2.8e-4
t3361,Male,27,3,2.9e-4
t3361,Male,27,4,3.1e-4
t3361,Male,27,5,3.3e-4
t3361,Male,27,6,3.6e-4
t3361,Male,27,7,4.1e-4
t3361,Male,27,8,4.6e-4
t3361,Male,27,9,5.1e-4
t3361,Male,27,10,6e-4
t3361,Male,27,11,6.7e-4
t3361,Male,27,12,7.5e-4
t3361,Male,27,13,8.5e-4
t3361,Male,27,14,9.7e-4
t3361,Male,27,15,0.00109
t3361,Male,27,16,0.00121
t3361,Male,27,17,0.00135
t3361,Male,27,18,0.00146
t3361,Male,27,19,0.00153
t3361,Male,27,20,0.00162
t3361,Male,27,21,0.00173
t3361,Male,27,22,0.00189
t3361,Male,27,23,0.00207
t3361,Male,27,24,0.00228
t3361,Male,27,25,0.0025
t3361,Male,28,1,2.2e-4
t3361,Male,28,2,2.6e-4
t3361,Male,28,3,2.8e-4
t3361,Male,28,4,3.1e-4
t3361,Male,28,5,3.4e-4
t3361,Male,28,6,3.8e-4
t3361,Male,28,7,4.3e-4
t3361,Male,28,8,4.8e-4
t3361,Male,28,9,5.4e-4
t3361,Male,28,10,6.4e-4
t3361,Male,28,11,7.2e-4
t3361,Male,28,12,8.1e-4
t3361,Male,28,13,9.2e-4
t3361,Male,28,14,0.00104
t3361,Male,28,15,0.00116
t3361,Male,28,16,0.00127
t3361,Male,28,17,0.0014
t3361,Male,28,18,0.00148
t3361,Male,28,19,0.00158
t3361,Male,28,20,0.00169
t3361,Male,28,21,0.00182
t3361,Male,28,22,0.00199
t3361,Male,28,23,0.00219
t3361,Male,28,24,0.00241
t3361,Male,28,25,0.00266
t3361,Male,29,1,2.1e-4
t3361,Male,29,2,2.5e-4
t3361,Male,29,3,2.9e-4
t3361,Male,29,4,3.3e-4
t3361,Male,29,5,3.7e-4
t3361,Male,29,6,4.2e-4
t3361,Male,29,7,4.6e-4
t3361,Male,29,8,5.2e-4
t3361,Male,29,9,5.8e-4
t3361,Male,29,10,6.9e-4
t3361,Male,29,11,7.9e-4
t3361,Male,29,12,8.8e-4
t3361,Male,29,13,9.9e-4
t3361,Male,29,14,0.00112
t3361,Male,29,15,0.00124
t3361,Male,29,16,0.00133
t3361,Male,29,17,0.00145
t3361,Male,29,18,0.00156
t3361,Male,29,19,0.00167
t3361,Male,29,20,0.00179
t3361,Male,29,21,0.00194
t3361,Male,29,22,0.00214
t3361,Male,29,23,0.00235
t3361,Male,29,24,0.00259
t3361,Male,29,25,0.00286
t3361,Male,30,1,2e-4
t3361,Male,30,2,2.4e-4
t3361,Male,30,3,3.1e-4
t3361,Male,30,4,3.5e-4
t3361,Male,30,5,4e-4
t3361,Male,30,6,4.4e-4
t3361,Male,30,7,4.8e-4
t3361,Male,30,8,5.4e-4
t3361,Male,30,9,6.2e-4
t3361,Male,30,10,7.4e-4
t3361,Male,30,11,8.4e-4
t3361,Male,30,12,9.2e-4
t3361,Male,30,13,0.00103
t3361,Male,30,14,0.00116
t3361,Male,30,15,0.00126
t3361,Male,30,16,0.00139
t3361,Male,30,17,0.00153
t3361,Male,30,18,0.00166
t3361,Male,30,19,0.00178
t3361,Male,30,20,0.00192
t3361,Male,30,21,0.0021
t3361,Male,30,22,0.00231
t3361,Male,30,23,0.00255
t3361,Male,30,24,0.00281
t3361,Male,30,25,0.0031
t3361,Male,31,1,1.8e-4
t3361,Male,31,2,2.4e-4
t3361,Male,31,3,3.2e-4
t3361,Male,31,4,3.8e-4
t3361,Male,31,5,4.2e-4
t3361,Male,31,6,4.6e-4
t3361,Male,31,7,5e-4
t3361,Male,31,8,5.7e-4
t3361,Male,31,9,6.8e-4
t3361,Male,31,10,8e-4
t3361,Male,31,11,8.9e-4
t3361,Male,31,12,9.7e-4
t3361,Male,31,13,0.00109
t3361,Male,31,14,0.0012
t3361,Male,31,15,0.00131
t3361,Male,31,16,0.00148
t3361,Male,31,17,0.00164
t3361,Male,31,18,0.00177
t3361,Male,31,19,0.00192
t3361,Male,31,20,0.00208
t3361,Male,31,21,0.00229
t3361,Male,31,22,0.00252
t3361,Male,31,23,0.00279
t3361,Male,31,24,0.00308
t3361,Male,31,25,0.00339
t3361,Male,32,1,1.9e-4
t3361,Male,32,2,2.5e-4
t3361,Male,32,3,3.4e-4
t3361,Male,32,4,4e-4
t3361,Male,32,5,4.5e-4
t3361,Male,32,6,4.9e-4
t3361,Male,32,7,5.5e-4
t3361,Male,32,8,6.3e-4
t3361,Male,32,9,7.5e-4
t3361,Male,32,10,8.7e-4
