table,gender,tobacco,issue_age,duration,q_sel
t3273,Male,Unismoke,10,15,8.8e-4
t3273,Male,Unismoke,10,16,8.8e-4
t3273,Male,Unismoke,10,17,8.8e-4
t3273,Male,Unismoke,10,18,8.7e-4
t3273,Male,Unismoke,10,19,8.5e-4
t3273,Male,Unismoke,10,20,8.4e-4
t3273,Male,Unismoke,10,21,8.4e-4
t3273,Male,Unismoke,10,22,8.8e-4
t3273,Male,Unismoke,10,23,0.00093000000000000005
t3273,Male,Unismoke,10,24,0.00101
t3273,Male,Unismoke,10,25,0.00109
t3273,Male,Unismoke,11,1,8e-5
t3273,Male,Unismoke,11,2,1e-4
t3273,Male,Unismoke,11,3,1.3e-4
t3273,Male,Unismoke,11,4,1.9e-4
t3273,Male,Unismoke,11,5,2.9e-4
t3273,Male,Unismoke,11,6,4.2e-4
t3273,Male,Unismoke,11,7,5.7e-4
t3273,Male,Unismoke,11,8,7.2e-4
t3273,Male,Unismoke,11,9,8.2e-4
t3273,Male,Unismoke,11,10,8.6e-4
t3273,Male,Unismoke,11,11,8.8e-4
t3273,Male,Unismoke,11,12,8.8e-4
t3273,Male,Unismoke,11,13,8.8e-4
t3273,Male,Unismoke,11,14,8.8e-4
t3273,Male,Unismoke,11,15,8.8e-4
t3273,Male,Unismoke,11,16,8.8e-4
t3273,Male,Unismoke,11,17,8.7e-4
t3273,Male,Unismoke,11,18,8.5e-4
t3273,Male,Unismoke,11,19,8.4e-4
t3273,Male,Unismoke,11,20,8.4e-4
t3273,Male,Unismoke,11,21,8.8e-4
t3273,Male,Unismoke,11,22,0.00093000000000000005
t3273,Male,Unismoke,11,23,0.00101
t3273,Male,Unismoke,11,24,0.00109
t3273,Male,Unismoke,11,25,0.00117
t3273,Male,Unismoke,12,1,1e-4
t3273,Male,Unismoke,12,2,1.3e-4
t3273,Male,Unismoke,12,3,1.9e-4
t3273,Male,Unismoke,12,4,2.9e-4
t3273,Male,Unismoke,12,5,4.2e-4
t3273,Male,Unismoke,12,6,5.7e-4
t3273,Male,Unismoke,12,7,7.2e-4
t3273,Male,Unismoke,12,8,8.2e-4
t3273,Male,Unismoke,12,9,8.6e-4
t3273,Male,Unismoke,12,10,8.8e-4
t3273,Male,Unismoke,12,11,8.8e-4
t3273,Male,Unismoke,12,12,8.8e-4
t3273,Male,Unismoke,12,13,8.8e-4
t3273,Male,Unismoke,12,14,8.8e-4
t3273,Male,Unismoke,12,15,8.8e-4
t3273,Male,Unismoke,12,16,8.7e-4
t3273,Male,Unismoke,12,17,8.5e-4
t3273,Male,Unismoke,12,18,8.4e-4
t3273,Male,Unismoke,12,19,8.4e-4
t3273,Male,Unismoke,12,20,8.8e-4
t3273,Male,Unismoke,12,21,0.00093000000000000005
t3273,Male,Unismoke,12,22,0.00101
t3273,Male,Unismoke,12,23,0.00109
t3273,Male,Unismoke,12,24,0.00117
t3273,Male,Unismoke,12,25,0.00128
t3273,Male,Unismoke,13,1,1.3e-4
t3273,Male,Unismoke,13,2,1.9e-4
t3273,Male,Unismoke,13,3,2.9e-4
t3273,Male,Unismoke,13,4,4.2e-4
t3273,Male,Unismoke,13,5,5.7e-4
t3273,Male,Unismoke,13,6,7.2e-4
t3273,Male,Unismoke,13,7,8.2e-4
t3273,Male,Unismoke,13,8,8.6e-4
t3273,Male,Unismoke,13,9,8.8e-4
t3273,Male,Unismoke,13,10,8.8e-4
t3273,Male,Unismoke,13,11,8.8e-4
t3273,Male,Unismoke,13,12,8.8e-4
t3273,Male,Unismoke,13,13,8.8e-4
t3273,Male,Unismoke,13,14,8.8e-4
t3273,Male,Unismoke,13,15,8.7e-4
t3273,Male,Unismoke,13,16,8.5e-4
t3273,Male,Unismoke,13,17,8.4e-4
t3273,Male,Unismoke,13,18,8.4e-4
t3273,Male,Unismoke,13,19,8.8e-4
t3273,Male,Unismoke,13,20,0.00093000000000000005
t3273,Male,Unismoke,13,21,0.00101
t3273,Male,Unismoke,13,22,0.00109
t3273,Male,Unismoke,13,23,0.00117
t3273,Male,Unismoke,13,24,0.00128
t3273,Male,Unismoke,13,25,0.00139
