table,gender,tobacco,attained_age,q_ult
t3274,Female,Unismoke,32,4.6e-4
t3274,Female,Unismoke,33,4.9e-4
t3274,Female,Unismoke,34,5.4e-4
t3274,Female,Unismoke,35,6.1e-4
t3274,Female,Unismoke,36,6.8e-4
t3274,Female,Unismoke,37,7.6e-4
t3274,Female,Unismoke,38,8.4e-4
t3274,Female,Unismoke,39,9.1e-4
t3274,Female,Unismoke,40,9.6e-4
t3274,Female,Unismoke,41,0.001
t3274,Female,Unismoke,42,0.00104
t3274,Female,Unismoke,43,0.00108
t3274,Female,Unismoke,44,0.00112
t3274,Female,Unismoke,45,0.00117
t3274,Female,Unismoke,46,0.00126
t3274,Female,Unismoke,47,0.00135
t3274,Female,Unismoke,48,0.00146
t3274,Female,Unismoke,49,0.00158
t3274,Female,Unismoke,50,0.00171
t3274,Female,Unismoke,51,0.0018600000000000001
t3274,Female,Unismoke,52,0.00202
t3274,Female,Unismoke,53,0.0022
t3274,Female,Unismoke,54,0.0024
t3274,Female,Unismoke,55,0.00262
t3274,Female,Unismoke,56,0.00287
t3274,Female,Unismoke,57,0.00314
t3274,Female,Unismoke,58,0.00345
t3274,Female,Unismoke,59,0.00381
t3274,Female,Unismoke,60,0.00421
t3274,Female,Unismoke,61,0.00466
t3274,Female,Unismoke,62,0.00518
t3274,Female,Unismoke,63,0.00575
t3274,Female,Unismoke,64,0.0064
t3274,Female,Unismoke,65,0.00713
t3274,Female,Unismoke,66,0.00793
t3274,Female,Unismoke,67,0.00882
t3274,Female,Unismoke,68,0.00981
t3274,Female,Unismoke,69,0.0109
t3274,Female,Unismoke,70,0.01209
t3274,Female,Unismoke,71,0.01339
t3274,Female,Unismoke,72,0.01482
t3274,Female,Unismoke,73,0.01638
t3274,Female,Unismoke,74,0.01813
t3274,Female,Unismoke,75,0.02011
t3274,Female,Unismoke,76,0.02234
t3274,Female,Unismoke,77,0.02489
t3274,Female,Unismoke,78,0.02775
t3274,Female,Unismoke,79,0.03098
t3274,Female,Unismoke,80,0.03463
t3274,Female,Unismoke,81,0.03898
t3274,Female,Unismoke,82,0.04393
t3274,Female,Unismoke,83,0.04951
t3274,Female,Unismoke,84,0.05597
t3274,Female,Unismoke,85,0.06331
t3274,Female,Unismoke,86,0.07173
t3274,Female,Unismoke,87,0.08086
t3274,Female,Unismoke,88,0.09088
t3274,Female,Unismoke,89,0.10186
t3274,Female,Unismoke,90,0.11371
t3274,Female,Unismoke,91,0.12612
t3274,Female,Unismoke,92,0.13937
t3274,Female,Unismoke,93,0.15344
t3274,Female,Unismoke,94,0.16748
t3274,Female,Unismoke,95,0.18238
t3274,Female,Unismoke,96,0.20089
t3274,Female,Unismoke,97,0.22099
t3274,Female,Unismoke,98,0.24266
t3274,Female,Unismoke,99,0.26552
t3274,Female,Unismoke,100,0.28919
t3274,Female,Unismoke,101,0.3133
t3274,Female,Unismoke,102,0.33747
t3274,Female,Unismoke,103,0.36133
t3274,Female,Unismoke,104,0.3845
t3274,Female,Unismoke,105,0.4066
t3274,Female,Unismoke,106,0.42726
