table,gender,tobacco,attained_age,q_ult
t3276,Female,Unismoke,102,0.34698
t3276,Female,Unismoke,103,0.37036
t3276,Female,Unismoke,104,0.39292
t3276,Female,Unismoke,105,0.4143
t3276,Female,Unismoke,106,0.43413
t3276,Female,Unismoke,107,0.45205
t3276,Female,Unismoke,108,0.46769
t3276,Female,Unismoke,109,0.48068
t3276,Female,Unismoke,110,0.49065
t3276,Female,Unismoke,111,0.49723
t3276,Female,Unismoke,112,0.5
t3276,Female,Unismoke,113,0.5
t3276,Female,Unismoke,114,0.5
t3276,Female,Unismoke,115,0.5
t3276,Female,Unismoke,116,0.5
t3276,Female,Unismoke,117,0.5
t3276,Female,Unismoke,118,0.5
t3276,Female,Unismoke,119,0.5
t3276,Female,Unismoke,120,0.5
