table,gender,tobacco,issue_age,duration,q_sel
t3275,Male,Unismoke,6,14,8.4e-4
t3275,Male,Unismoke,6,15,8.7e-4
t3275,Male,Unismoke,6,16,8.8e-4
t3275,Male,Unismoke,6,17,8.8e-4
t3275,Male,Unismoke,6,18,8.8e-4
t3275,Male,Unismoke,6,19,8.8e-4
t3275,Male,Unismoke,6,20,8.8e-4
t3275,Male,Unismoke,6,21,8.7e-4
t3275,Male,Unismoke,6,22,8.6e-4
t3275,Male,Unismoke,6,23,8.4e-4
t3275,Male,Unismoke,6,24,8.4e-4
t3275,Male,Unismoke,6,25,8.6e-4
t3275,Male,Unismoke,7,1,8e-5
t3275,Male,Unismoke,7,2,8e-5
t3275,Male,Unismoke,7,3,8e-5
t3275,Male,Unismoke,7,4,8e-5
t3275,Male,Unismoke,7,5,9e-5
t3275,Male,Unismoke,7,6,1.2e-4
t3275,Male,Unismoke,7,7,1.6e-4
t3275,Male,Unismoke,7,8,2.4e-4
t3275,Male,Unismoke,7,9,3.5e-4
t3275,Male,Unismoke,7,10,4.9e-4
t3275,Male,Unismoke,7,11,6.5e-4
t3275,Male,Unismoke,7,12,7.7e-4
t3275,Male,Unismoke,7,13,8.4e-4
t3275,Male,Unismoke,7,14,8.7e-4
t3275,Male,Unismoke,7,15,8.8e-4
t3275,Male,Unismoke,7,16,8.8e-4
t3275,Male,Unismoke,7,17,8.8e-4
t3275,Male,Unismoke,7,18,8.8e-4
t3275,Male,Unismoke,7,19,8.8e-4
t3275,Male,Unismoke,7,20,8.7e-4
t3275,Male,Unismoke,7,21,8.6e-4
t3275,Male,Unismoke,7,22,8.4e-4
t3275,Male,Unismoke,7,23,8.4e-4
t3275,Male,Unismoke,7,24,8.6e-4
t3275,Male,Unismoke,7,25,9e-4
t3275,Male,Unismoke,8,1,8e-5
t3275,Male,Unismoke,8,2,8e-5
t3275,Male,Unismoke,8,3,8e-5
t3275,Male,Unismoke,8,4,9e-5
t3275,Male,Unismoke,8,5,1.2e-4
t3275,Male,Unismoke,8,6,1.6e-4
t3275,Male,Unismoke,8,7,2.4e-4
t3275,Male,Unismoke,8,8,3.5e-4
t3275,Male,Unismoke,8,9,4.9e-4
t3275,Male,Unismoke,8,10,6.5e-4
t3275,Male,Unismoke,8,11,7.7e-4
t3275,Male,Unismoke,8,12,8.4e-4
t3275,Male,Unismoke,8,13,8.7e-4
t3275,Male,Unismoke,8,14,8.8e-4
t3275,Male,Unismoke,8,15,8.8e-4
t3275,Male,Unismoke,8,16,8.8e-4
t3275,Male,Unismoke,8,17,8.8e-4
t3275,Male,Unismoke,8,18,8.8e-4
t3275,Male,Unismoke,8,19,8.7e-4
t3275,Male,Unismoke,8,20,8.6e-4
t3275,Male,Unismoke,8,21,8.4e-4
t3275,Male,Unismoke,8,22,8.4e-4
t3275,Male,Unismoke,8,23,8.6e-4
t3275,Male,Unismoke,8,24,9e-4
t3275,Male,Unismoke,8,25,9.7e-4
t3275,Male,Unismoke,9,1,8e-5
t3275,Male,Unismoke,9,2,8e-5
t3275,Male,Unismoke,9,3,9e-5
t3275,Male,Unismoke,9,4,1.2e-4
t3275,Male,Unismoke,9,5,1.6e-4
t3275,Male,Unismoke,9,6,2.4e-4
t3275,Male,Unismoke,9,7,3.5e-4
t3275,Male,Unismoke,9,8,4.9e-4
t3275,Male,Unismoke,9,9,6.5e-4
t3275,Male,Unismoke,9,10,7.7e-4
t3275,Male,Unismoke,9,11,8.4e-4
t3275,Male,Unismoke,9,12,8.7e-4
t3275,Male,Unismoke,9,13,8.8e-4
t3275,Male,Unismoke,9,14,8.8e-4
t3275,Male,Unismoke,9,15,8.8e-4
t3275,Male,Unismoke,9,16,8.8e-4
t3275,Male,Unismoke,9,17,8.8e-4
t3275,Male,Unismoke,9,18,8.7e-4
t3275,Male,Unismoke,9,19,8.6e-4
t3275,Male,Unismoke,9,20,8.4e-4
t3275,Male,Unismoke,9,21,8.4e-4
t3275,Male,Unismoke,9,22,8.6e-4
t3275,Male,Unismoke,9,23,9e-4
t3275,Male,Unismoke,9,24,9.7e-4
t3275,Male,Unismoke,9,25,0.00105
t3275,Male,Unismoke,10,1,8e-5
t3275,Male,Unismoke,10,2,9e-5
t3275,Male,Unismoke,10,3,1.2e-4
t3275,Male,Unismoke,10,4,1.6e-4
t3275,Male,Unismoke,10,5,2.4e-4
t3275,Male,Unismoke,10,6,3.5e-4
t3275,Male,Unismoke,10,7,4.9e-4
t3275,Male,Unismoke,10,8,6.5e-4
t3275,Male,Unismoke,10,9,7.7e-4
t3275,Male,Unismoke,10,10,8.4e-4
t3275,Male,Unismoke,10,11,8.7e-4
t3275,Male,Unismoke,10,12,8.8e-4
t3275,Male,Unismoke,10,13,8.8e-4
t3275,Male,Unismoke,10,14,8.8e-4
t3275,Male,Unismoke,10,15,8.8e-4
t3275,Male,Unismoke,10,16,8.8e-4
t3275,Male,Unismoke,10,17,8.7e-4
t3275,Male,Unismoke,10,18,8.6e-4
t3275,Male,Unismoke,10,19,8.4e-4
t3275,Male,Unismoke,10,20,8.4e-4
t3275,Male,Unismoke,10,21,8.6e-4
t3275,Male,Unismoke,10,22,9e-4
t3275,Male,Unismoke,10,23,9.7e-4
t3275,Male,Unismoke,10,24,0.00105
t3275,Male,Unismoke,10,25,0.00113
t3275,Male,Unismoke,11,1,9e-5
