table,gender_blend,attained_age,q_ult
t3283,40% Male,8,8e-5
t3283,40% Male,9,8e-5
t3283,40% Male,10,9e-5
t3283,40% Male,11,1e-4
t3283,40% Male,12,1e-4
t3283,40% Male,13,1.3e-4
t3283,40% Male,14,2.1e-4
t3283,40% Male,15,3.1e-4
t3283,40% Male,16,4.2e-4
t3283,40% Male,17,5.1e-4
t3283,40% Male,18,5.2e-4
t3283,40% Male,19,5.3e-4
t3283,40% Male,20,5.4e-4
t3283,40% Male,21,5.5e-4
t3283,40% Male,22,5.7e-4
t3283,40% Male,23,6e-4
t3283,40% Male,24,6.4e-4
t3283,40% Male,25,6.4e-4
t3283,40% Male,26,6.5e-4
t3283,40% Male,27,6.5e-4
t3283,40% Male,28,6.5e-4
t3283,40% Male,29,6.7e-4
t3283,40% Male,30,6.9e-4
t3283,40% Male,31,7.4e-4
t3283,40% Male,32,7.9e-4
t3283,40% Male,33,8.6e-4
t3283,40% Male,34,0.00093000000000000005
t3283,40% Male,35,0.00103
t3283,40% Male,36,0.00113
t3283,40% Male,37,0.00125
t3283,40% Male,38,0.00136
t3283,40% Male,39,0.00146
t3283,40% Male,40,0.00155
t3283,40% Male,41,0.00164
t3283,40% Male,42,0.00171
t3283,40% Male,43,0.00176
t3283,40% Male,44,0.00182
t3283,40% Male,45,0.00189
t3283,40% Male,46,0.00199
t3283,40% Male,47,0.00209
t3283,40% Male,48,0.00219
t3283,40% Male,49,0.00231
t3283,40% Male,50,0.00247
t3283,40% Male,51,0.00264
t3283,40% Male,52,0.00284
t3283,40% Male,53,0.00308
t3283,40% Male,54,0.00333
t3283,40% Male,55,0.00362
t3283,40% Male,56,0.00395
t3283,40% Male,57,0.00432
t3283,40% Male,58,0.00475
t3283,40% Male,59,0.00523
t3283,40% Male,60,0.00578
t3283,40% Male,61,0.00641
t3283,40% Male,62,0.00712
t3283,40% Male,63,0.00792
t3283,40% Male,64,0.00879
t3283,40% Male,65,0.00973
t3283,40% Male,66,0.01077
t3283,40% Male,67,0.0119
t3283,40% Male,68,0.01315
t3283,40% Male,69,0.01455
t3283,40% Male,70,0.01611
