issue_age,attained_age,duration,table,gender_blend,q_sel,q_ult
0,45,46,t3282,20% Male,NA,0.00167
0,46,47,t3282,20% Male,NA,0.00177
0,47,48,t3282,20% Male,NA,0.00188
0,48,49,t3282,20% Male,NA,0.00199
0,49,50,t3282,20% Male,NA,0.00213
0,50,51,t3282,20% Male,NA,0.00229
0,51,52,t3282,20% Male,NA,0.00246
0,52,53,t3282,20% Male,NA,0.00266
0,53,54,t3282,20% Male,NA,0.00289
0,54,55,t3282,20% Male,NA,0.00314
0,55,56,t3282,20% Male,NA,0.00342
0,56,57,t3282,20% Male,NA,0.00374
0,57,58,t3282,20% Male,NA,0.0041
0,58,59,t3282,20% Male,NA,0.0045
0,59,60,t3282,20% Male,NA,0.00496
0,60,61,t3282,20% Male,NA,0.00549
0,61,62,t3282,20% Male,NA,0.00608
0,62,63,t3282,20% Male,NA,0.00676
0,63,64,t3282,20% Male,NA,0.00751
0,64,65,t3282,20% Male,NA,0.00834
0,65,66,t3282,20% Male,NA,0.00925
0,66,67,t3282,20% Male,NA,0.01026
0,67,68,t3282,20% Male,NA,0.01137
0,68,69,t3282,20% Male,NA,0.01259
0,69,70,t3282,20% Male,NA,0.01395
0,70,71,t3282,20% Male,NA,0.01545
0,71,72,t3282,20% Male,NA,0.01712
0,72,73,t3282,20% Male,NA,0.01897
0,73,74,t3282,20% Male,NA,0.02105
0,74,75,t3282,20% Male,NA,0.02337
0,75,76,t3282,20% Male,NA,0.02596
0,76,77,t3282,20% Male,NA,0.02887
0,77,78,t3282,20% Male,NA,0.03211
0,78,79,t3282,20% Male,NA,0.03574
0,79,80,t3282,20% Male,NA,0.03985
0,80,81,t3282,20% Male,NA,0.04461
0,81,82,t3282,20% Male,NA,0.05013
0,82,83,t3282,20% Male,NA,0.05643
0,83,84,t3282,20% Male,NA,0.0637
0,84,85,t3282,20% Male,NA,0.07202
0,85,86,t3282,20% Male,NA,0.08154
0,86,87,t3282,20% Male,NA,0.0922
0,87,88,t3282,20% Male,NA,0.1039
0,88,89,t3282,20% Male,NA,0.11671
0,89,90,t3282,20% Male,NA,0.13054
0,90,91,t3282,20% Male,NA,0.14515
0,91,92,t3282,20% Male,NA,0.16039
0,92,93,t3282,20% Male,NA,0.17636
0,93,94,t3282,20% Male,NA,0.19249
0,94,95,t3282,20% Male,NA,0.20858
0,95,96,t3282,20% Male,NA,0.22668
0,96,97,t3282,20% Male,NA,0.24779
0,97,98,t3282,20% Male,NA,0.2706
0,98,99,t3282,20% Male,NA,0.29496
0,99,100,t3282,20% Male,NA,0.32047
0,100,101,t3282,20% Male,NA,0.34592
0,101,102,t3282,20% Male,NA,0.37042
0,102,103,t3282,20% Male,NA,0.39453
0,103,104,t3282,20% Male,NA,0.41785
0,104,105,t3282,20% Male,NA,0.43998
0,105,106,t3282,20% Male,NA,0.46053
0,106,107,t3282,20% Male,NA,0.48213
0,107,108,t3282,20% Male,NA,0.50829
0,108,109,t3282,20% Male,NA,0.53584
0,109,110,t3282,20% Male,NA,0.56485
0,110,111,t3282,20% Male,NA,0.59538
0,111,112,t3282,20% Male,NA,0.62751
0,112,113,t3282,20% Male,NA,0.66131
0,113,114,t3282,20% Male,NA,0.69686
0,114,115,t3282,20% Male,NA,0.73421
0,115,116,t3282,20% Male,NA,0.77346
0,116,117,t3282,20% Male,NA,0.81466
0,117,118,t3282,20% Male,NA,0.85788
0,118,119,t3282,20% Male,NA,0.90315
0,119,120,t3282,20% Male,NA,0.95053
0,120,121,t3282,20% Male,NA,1
1,1,1,t3282,20% Male,1.4e-4,1.4e-4
1,2,2,t3282,20% Male,1e-4,1e-4
1,3,3,t3282,20% Male,9e-5,9e-5
1,4,4,t3282,20% Male,9e-5,9e-5
1,5,5,t3282,20% Male,9e-5,9e-5
1,6,6,t3282,20% Male,9e-5,9e-5
1,7,7,t3282,20% Male,8e-5,8e-5
1,8,8,t3282,20% Male,8e-5,8e-5
1,9,9,t3282,20% Male,8e-5,8e-5
1,10,10,t3282,20% Male,9e-5,9e-5
1,11,11,t3282,20% Male,9e-5,9e-5
1,12,12,t3282,20% Male,9e-5,9e-5
1,13,13,t3282,20% Male,1.1e-4,1.1e-4
1,14,14,t3282,20% Male,1.8e-4,1.8e-4
1,15,15,t3282,20% Male,2.7e-4,2.7e-4
1,16,16,t3282,20% Male,3.6e-4,3.6e-4
1,17,17,t3282,20% Male,4.2e-4,4.2e-4
1,18,18,t3282,20% Male,4.2e-4,4.2e-4
1,19,19,t3282,20% Male,4.3e-4,4.3e-4
1,20,20,t3282,20% Male,4.3e-4,4.3e-4
