table,gender_blend,issue_age,duration,q_sel
t3282,20% Male,9,15,4.8e-4
t3282,20% Male,9,16,5.2e-4
t3282,20% Male,9,17,5.2e-4
t3282,20% Male,9,18,5.3e-4
t3282,20% Male,9,19,5.3e-4
t3282,20% Male,9,20,5.4e-4
t3282,20% Male,9,21,5.6e-4
t3282,20% Male,9,22,5.9e-4
t3282,20% Male,9,23,6.3e-4
t3282,20% Male,9,24,6.8e-4
t3282,20% Male,9,25,7.4e-4
t3282,20% Male,10,1,9e-5
t3282,20% Male,10,2,9e-5
t3282,20% Male,10,3,9e-5
t3282,20% Male,10,4,1.1e-4
t3282,20% Male,10,5,1.8e-4
t3282,20% Male,10,6,2.7e-4
t3282,20% Male,10,7,3.6e-4
t3282,20% Male,10,8,4.2e-4
t3282,20% Male,10,9,4.2e-4
t3282,20% Male,10,10,4.3e-4
t3282,20% Male,10,11,4.3e-4
t3282,20% Male,10,12,4.4e-4
t3282,20% Male,10,13,4.5e-4
t3282,20% Male,10,14,4.8e-4
t3282,20% Male,10,15,5.2e-4
t3282,20% Male,10,16,5.2e-4
t3282,20% Male,10,17,5.3e-4
t3282,20% Male,10,18,5.3e-4
t3282,20% Male,10,19,5.4e-4
t3282,20% Male,10,20,5.6e-4
t3282,20% Male,10,21,5.9e-4
t3282,20% Male,10,22,6.3e-4
t3282,20% Male,10,23,6.8e-4
t3282,20% Male,10,24,7.4e-4
t3282,20% Male,10,25,8.1e-4
t3282,20% Male,11,1,9e-5
t3282,20% Male,11,2,9e-5
t3282,20% Male,11,3,1.1e-4
t3282,20% Male,11,4,1.8e-4
t3282,20% Male,11,5,2.7e-4
t3282,20% Male,11,6,3.6e-4
t3282,20% Male,11,7,4.2e-4
t3282,20% Male,11,8,4.2e-4
t3282,20% Male,11,9,4.3e-4
t3282,20% Male,11,10,4.3e-4
t3282,20% Male,11,11,4.4e-4
t3282,20% Male,11,12,4.5e-4
t3282,20% Male,11,13,4.8e-4
t3282,20% Male,11,14,5.2e-4
t3282,20% Male,11,15,5.2e-4
t3282,20% Male,11,16,5.3e-4
t3282,20% Male,11,17,5.3e-4
t3282,20% Male,11,18,5.4e-4
t3282,20% Male,11,19,5.6e-4
t3282,20% Male,11,20,5.9e-4
t3282,20% Male,11,21,6.3e-4
t3282,20% Male,11,22,6.8e-4
t3282,20% Male,11,23,7.4e-4
t3282,20% Male,11,24,8.1e-4
t3282,20% Male,11,25,9e-4
t3282,20% Male,12,1,9e-5
t3282,20% Male,12,2,1.1e-4
t3282,20% Male,12,3,1.8e-4
t3282,20% Male,12,4,2.7e-4
t3282,20% Male,12,5,3.6e-4
t3282,20% Male,12,6,4.2e-4
t3282,20% Male,12,7,4.2e-4
t3282,20% Male,12,8,4.3e-4
t3282,20% Male,12,9,4.3e-4
t3282,20% Male,12,10,4.4e-4
t3282,20% Male,12,11,4.5e-4
t3282,20% Male,12,12,4.8e-4
t3282,20% Male,12,13,5.2e-4
t3282,20% Male,12,14,5.2e-4
t3282,20% Male,12,15,5.3e-4
t3282,20% Male,12,16,5.3e-4
t3282,20% Male,12,17,5.4e-4
t3282,20% Male,12,18,5.6e-4
t3282,20% Male,12,19,5.9e-4
t3282,20% Male,12,20,6.3e-4
t3282,20% Male,12,21,6.8e-4
t3282,20% Male,12,22,7.4e-4
t3282,20% Male,12,23,8.1e-4
t3282,20% Male,12,24,9e-4
t3282,20% Male,12,25,0.001
t3282,20% Male,13,1,1.1e-4
t3282,20% Male,13,2,1.8e-4
t3282,20% Male,13,3,2.7e-4
t3282,20% Male,13,4,3.6e-4
t3282,20% Male,13,5,4.2e-4
t3282,20% Male,13,6,4.2e-4
t3282,20% Male,13,7,4.3e-4
t3282,20% Male,13,8,4.3e-4
t3282,20% Male,13,9,4.4e-4
t3282,20% Male,13,10,4.5e-4
t3282,20% Male,13,11,4.8e-4
t3282,20% Male,13,12,5.2e-4
t3282,20% Male,13,13,5.2e-4
t3282,20% Male,13,14,5.3e-4
t3282,20% Male,13,15,5.3e-4
t3282,20% Male,13,16,5.4e-4
t3282,20% Male,13,17,5.6e-4
t3282,20% Male,13,18,5.9e-4
t3282,20% Male,13,19,6.3e-4
t3282,20% Male,13,20,6.8e-4
t3282,20% Male,13,21,7.4e-4
t3282,20% Male,13,22,8.1e-4
t3282,20% Male,13,23,9e-4
t3282,20% Male,13,24,0.001
t3282,20% Male,13,25,0.0011
t3282,20% Male,14,1,1.8e-4
t3282,20% Male,14,2,2.7e-4
t3282,20% Male,14,3,3.6e-4
t3282,20% Male,14,4,4.2e-4
t3282,20% Male,14,5,4.2e-4
t3282,20% Male,14,6,4.3e-4
t3282,20% Male,14,7,4.3e-4
t3282,20% Male,14,8,4.4e-4
t3282,20% Male,14,9,4.5e-4
t3282,20% Male,14,10,4.8e-4
t3282,20% Male,14,11,5.2e-4
t3282,20% Male,14,12,5.2e-4
t3282,20% Male,14,13,5.3e-4
t3282,20% Male,14,14,5.3e-4
t3282,20% Male,14,15,5.4e-4
t3282,20% Male,14,16,5.6e-4
t3282,20% Male,14,17,5.9e-4
t3282,20% Male,14,18,6.3e-4
t3282,20% Male,14,19,6.8e-4
t3282,20% Male,14,20,7.4e-4
t3282,20% Male,14,21,8.1e-4
t3282,20% Male,14,22,9e-4
t3282,20% Male,14,23,0.001
t3282,20% Male,14,24,0.0011
t3282,20% Male,14,25,0.0012
t3282,20% Male,15,1,2.7e-4
t3282,20% Male,15,2,3.6e-4
t3282,20% Male,15,3,4.2e-4
t3282,20% Male,15,4,4.2e-4
t3282,20% Male,15,5,4.3e-4
t3282,20% Male,15,6,4.3e-4
t3282,20% Male,15,7,4.4e-4
t3282,20% Male,15,8,4.5e-4
t3282,20% Male,15,9,4.8e-4
t3282,20% Male,15,10,5.2e-4
t3282,20% Male,15,11,5.2e-4
t3282,20% Male,15,12,5.3e-4
t3282,20% Male,15,13,5.3e-4
t3282,20% Male,15,14,5.4e-4
t3282,20% Male,15,15,5.6e-4
t3282,20% Male,15,16,5.9e-4
t3282,20% Male,15,17,6.3e-4
t3282,20% Male,15,18,6.8e-4
t3282,20% Male,15,19,7.4e-4
t3282,20% Male,15,20,8.1e-4
t3282,20% Male,15,21,9e-4
t3282,20% Male,15,22,0.001
t3282,20% Male,15,23,0.0011
t3282,20% Male,15,24,0.0012
t3282,20% Male,15,25,0.00128
t3282,20% Male,16,1,3.6e-4
t3282,20% Male,16,2,4.2e-4
t3282,20% Male,16,3,4.2e-4
t3282,20% Male,16,4,4.3e-4
t3282,20% Male,16,5,4.3e-4
t3282,20% Male,16,6,4.4e-4
t3282,20% Male,16,7,4.5e-4
t3282,20% Male,16,8,4.8e-4
t3282,20% Male,16,9,5.2e-4
t3282,20% Male,16,10,5.2e-4
t3282,20% Male,16,11,5.3e-4
t3282,20% Male,16,12,5.3e-4
t3282,20% Male,16,13,5.4e-4
t3282,20% Male,16,14,5.6e-4
t3282,20% Male,16,15,5.9e-4
t3282,20% Male,16,16,6.3e-4
t3282,20% Male,16,17,6.8e-4
t3282,20% Male,16,18,7.4e-4
t3282,20% Male,16,19,8.1e-4
t3282,20% Male,16,20,9e-4
t3282,20% Male,16,21,0.001
t3282,20% Male,16,22,0.0011
t3282,20% Male,16,23,0.0012
t3282,20% Male,16,24,0.00128
t3282,20% Male,16,25,0.00136
t3282,20% Male,17,1,4.2e-4
t3282,20% Male,17,2,4.2e-4
t3282,20% Male,17,3,4.3e-4
t3282,20% Male,17,4,4.3e-4
t3282,20% Male,17,5,4.4e-4
t3282,20% Male,17,6,4.5e-4
t3282,20% Male,17,7,4.8e-4
t3282,20% Male,17,8,5.2e-4
t3282,20% Male,17,9,5.2e-4
t3282,20% Male,17,10,5.3e-4
t3282,20% Male,17,11,5.3e-4
t3282,20% Male,17,12,5.4e-4
t3282,20% Male,17,13,5.6e-4
t3282,20% Male,17,14,5.9e-4
t3282,20% Male,17,15,6.3e-4
t3282,20% Male,17,16,6.8e-4
t3282,20% Male,17,17,7.4e-4
t3282,20% Male,17,18,8.1e-4
