table,gender,attained_age,q_ult
t3287,Male,93,0.21762
t3287,Male,94,0.23331
t3287,Male,95,0.24714
t3287,Male,96,0.26511
t3287,Male,97,0.28442
t3287,Male,98,0.30563
t3287,Male,99,0.32833
t3287,Male,100,0.35209
t3287,Male,101,0.37447
t3287,Male,102,0.3968
t3287,Male,103,0.41866
t3287,Male,104,0.43965
t3287,Male,105,0.45936
t3287,Male,106,0.47743
t3287,Male,107,0.50332
t3287,Male,108,0.53061
t3287,Male,109,0.55939
t3287,Male,110,0.58972
t3287,Male,111,0.6217
t3287,Male,112,0.65542
t3287,Male,113,0.69096
t3287,Male,114,0.72843
t3287,Male,115,0.76794
t3287,Male,116,0.80958
t3287,Male,117,0.85348
t3287,Male,118,0.89977
t3287,Male,119,0.94856
t3287,Male,120,1
t3288,Female,0,3e-4
t3288,Female,1,1.7e-4
t3288,Female,2,1.1e-4
t3288,Female,3,8e-5
t3288,Female,4,8e-5
t3288,Female,5,8e-5
t3288,Female,6,9e-5
t3288,Female,7,9e-5
t3288,Female,8,8e-5
t3288,Female,9,8e-5
t3288,Female,10,9e-5
t3288,Female,11,9e-5
t3288,Female,12,9e-5
t3288,Female,13,8e-5
t3288,Female,14,1.1e-4
t3288,Female,15,1.9e-4
t3288,Female,16,2.7e-4
t3288,Female,17,3.2e-4
t3288,Female,18,3.3e-4
t3288,Female,19,3.3e-4
t3288,Female,20,3.3e-4
t3288,Female,21,3.3e-4
t3288,Female,22,3.3e-4
t3288,Female,23,3.5e-4
t3288,Female,24,3.9e-4
t3288,Female,25,4.1e-4
t3288,Female,26,4.1e-4
t3288,Female,27,4.1e-4
t3288,Female,28,4.2e-4
t3288,Female,29,4.4e-4
t3288,Female,30,4.8e-4
t3288,Female,31,5.1e-4
t3288,Female,32,5.4e-4
t3288,Female,33,5.9e-4
t3288,Female,34,6.5e-4
t3288,Female,35,7.2e-4
t3288,Female,36,8.1e-4
t3288,Female,37,9.1e-4
t3288,Female,38,0.001
t3288,Female,39,0.00108
t3288,Female,40,0.00114
t3288,Female,41,0.0012
t3288,Female,42,0.00124
t3288,Female,43,0.00128
t3288,Female,44,0.00133
t3288,Female,45,0.00138
t3288,Female,46,0.00149
t3288,Female,47,0.0016
t3288,Female,48,0.00173
t3288,Female,49,0.00187
t3288,Female,50,0.00202
t3288,Female,51,0.00219
t3288,Female,52,0.00238
t3288,Female,53,0.00259
t3288,Female,54,0.00282
t3288,Female,55,0.00308
t3288,Female,56,0.00337
t3288,Female,57,0.00369
t3288,Female,58,0.00405
t3288,Female,59,0.00446
t3288,Female,60,0.00493
t3288,Female,61,0.00546
t3288,Female,62,0.00605
t3288,Female,63,0.00672
t3288,Female,64,0.00747
t3288,Female,65,0.00831
t3288,Female,66,0.00924
t3288,Female,67,0.01027
t3288,Female,68,0.01141
t3288,Female,69,0.01266
t3288,Female,70,0.01404
t3288,Female,71,0.01553
t3288,Female,72,0.01717
t3288,Female,73,0.01897
t3288,Female,74,0.02098
t3288,Female,75,0.02325
t3288,Female,76,0.0258
t3288,Female,77,0.02872
t3288,Female,78,0.03199
t3288,Female,79,0.03569
t3288,Female,80,0.03986
t3288,Female,81,0.04488
t3288,Female,82,0.0506
t3288,Female,83,0.05704
t3288,Female,84,0.06449
t3288,Female,85,0.07298
t3288,Female,86,0.08271
t3288,Female,87,0.09324
t3288,Female,88,0.10484
t3288,Female,89,0.11754
t3288,Female,90,0.13125
t3288,Female,91,0.1456
t3288,Female,92,0.16095
t3288,Female,93,0.17725
t3288,Female,94,0.19329
t3288,Female,95,0.21031
t3288,Female,96,0.23144
t3288,Female,97,0.25438
t3288,Female,98,0.27908
t3288,Female,99,0.30509
t3288,Female,100,0.33199
t3288,Female,101,0.35742
t3288,Female,102,0.38258
t3288,Female,103,0.40703
t3288,Female,104,0.43037
t3288,Female,105,0.45219
t3288,Female,106,0.4721
t3288,Female,107,0.49811
t3288,Female,108,0.52554
t3288,Female,109,0.55448
t3288,Female,110,0.58502
t3288,Female,111,0.61724
t3288,Female,112,0.65123
t3288,Female,113,0.6871
t3288,Female,114,0.72494
t3288,Female,115,0.76487
t3288,Female,116,0.80699
t3288,Female,117,0.85143
t3288,Female,118,0.89833
t3288,Female,119,0.9478
t3288,Female,120,1
