table,gender,issue_age,duration,q_sel
t3287,Male,16,21,0.0015
t3287,Male,16,22,0.00162
t3287,Male,16,23,0.00176
t3287,Male,16,24,0.0019
t3287,Male,16,25,0.00206
t3287,Male,17,1,6.9e-4
t3287,Male,17,2,8.3e-4
t3287,Male,17,3,8.6e-4
t3287,Male,17,4,9e-4
t3287,Male,17,5,0.00093000000000000005
t3287,Male,17,6,9.6e-4
t3287,Male,17,7,9.9e-4
t3287,Male,17,8,0.00102
t3287,Male,17,9,0.00105
t3287,Male,17,10,0.00105
t3287,Male,17,11,0.00103
t3287,Male,17,12,0.00101
t3287,Male,17,13,0.001
t3287,Male,17,14,0.001
t3287,Male,17,15,0.00104
t3287,Male,17,16,0.00111
t3287,Male,17,17,0.00119
t3287,Male,17,18,0.00128
t3287,Male,17,19,0.00137
t3287,Male,17,20,0.0015
t3287,Male,17,21,0.00162
t3287,Male,17,22,0.00176
t3287,Male,17,23,0.0019
t3287,Male,17,24,0.00206
t3287,Male,17,25,0.00221
t3287,Male,18,1,8.3e-4
t3287,Male,18,2,8.6e-4
t3287,Male,18,3,8.9e-4
t3287,Male,18,4,0.00093000000000000005
t3287,Male,18,5,0.00093000000000000005
t3287,Male,18,6,0.00093000000000000005
t3287,Male,18,7,9.4e-4
t3287,Male,18,8,9.5e-4
t3287,Male,18,9,8.9e-4
t3287,Male,18,10,8.6e-4
t3287,Male,18,11,8.2e-4
t3287,Male,18,12,7.9e-4
t3287,Male,18,13,7.8e-4
t3287,Male,18,14,8.1e-4
t3287,Male,18,15,8.5e-4
t3287,Male,18,16,0.00093000000000000005
t3287,Male,18,17,0.00103
t3287,Male,18,18,0.00114
t3287,Male,18,19,0.00128
t3287,Male,18,20,0.00141
t3287,Male,18,21,0.00154
t3287,Male,18,22,0.0017
t3287,Male,18,23,0.0018600000000000001
t3287,Male,18,24,0.00204
t3287,Male,18,25,0.00223
t3287,Male,19,1,7.7e-4
t3287,Male,19,2,8.1e-4
t3287,Male,19,3,8.3e-4
t3287,Male,19,4,8.2e-4
t3287,Male,19,5,8.3e-4
t3287,Male,19,6,8.6e-4
t3287,Male,19,7,8.7e-4
t3287,Male,19,8,8.4e-4
t3287,Male,19,9,7.9e-4
t3287,Male,19,10,7.4e-4
t3287,Male,19,11,7.5e-4
t3287,Male,19,12,7.4e-4
t3287,Male,19,13,7.6e-4
t3287,Male,19,14,8.1e-4
t3287,Male,19,15,8.8e-4
t3287,Male,19,16,9.5e-4
t3287,Male,19,17,0.00105
t3287,Male,19,18,0.00118
t3287,Male,19,19,0.00131
t3287,Male,19,20,0.00147
t3287,Male,19,21,0.00164
t3287,Male,19,22,0.0018
t3287,Male,19,23,0.00198
t3287,Male,19,24,0.00215
t3287,Male,19,25,0.00232
t3287,Male,20,1,7e-4
t3287,Male,20,2,7.2e-4
t3287,Male,20,3,7.8e-4
t3287,Male,20,4,7.8e-4
t3287,Male,20,5,7.7e-4
