table,gender_blend,attained_age,q
t2126,50% Male,23,3.29e-4
t2126,50% Male,24,3.46e-4
t2126,50% Male,25,3.63e-4
t2126,50% Male,26,3.82e-4
t2126,50% Male,27,4.03e-4
t2126,50% Male,28,4.27e-4
t2126,50% Male,29,4.51e-4
t2126,50% Male,30,4.8e-4
t2126,50% Male,31,5.1e-4
t2126,50% Male,32,5.43e-4
t2126,50% Male,33,5.8e-4
t2126,50% Male,34,6.21e-4
t2126,50% Male,35,6.76e-4
t2126,50% Male,36,7.12e-4
t2126,50% Male,37,7.59e-4
t2126,50% Male,38,8.15e-4
t2126,50% Male,39,8.82e-4
t2126,50% Male,40,9.62e-4
t2126,50% Male,41,0.001055
t2126,50% Male,42,0.001165
t2126,50% Male,43,0.001295
t2126,50% Male,44,0.001444
t2126,50% Male,45,0.001618
t2126,50% Male,46,0.001818
t2126,50% Male,47,0.002041
t2126,50% Male,48,0.002282
t2126,50% Male,49,0.002543
t2126,50% Male,50,0.002815
t2126,50% Male,51,0.003098
t2126,50% Male,52,0.003394
t2126,50% Male,53,0.003704
t2126,50% Male,54,0.004033
t2126,50% Male,55,0.004382
t2126,50% Male,56,0.004756
t2126,50% Male,57,0.005165
t2126,50% Male,58,0.005623
t2126,50% Male,59,0.006143
t2126,50% Male,60,0.006737
t2126,50% Male,61,0.007418
t2126,50% Male,62,0.008201
t2126,50% Male,63,0.009104
t2126,50% Male,64,0.010141
t2126,50% Male,65,0.011328
t2126,50% Male,66,0.012677
t2126,50% Male,67,0.014191
t2126,50% Male,68,0.015872
t2126,50% Male,69,0.017722
t2126,50% Male,70,0.019743
t2126,50% Male,71,0.021949
t2126,50% Male,72,0.024384
t2126,50% Male,73,0.027097
t2126,50% Male,74,0.030137
t2126,50% Male,75,0.033549
t2126,50% Male,76,0.037365
t2126,50% Male,77,0.041578
t2126,50% Male,78,0.046167
t2126,50% Male,79,0.051116
t2126,50% Male,80,0.056402
t2126,50% Male,81,0.062007
t2126,50% Male,82,0.067908
t2126,50% Male,83,0.074085
t2126,50% Male,84,0.080518
t2126,50% Male,85,0.087195
t2126,50% Male,86,0.094324
t2126,50% Male,87,0.101905
t2126,50% Male,88,0.110072
t2126,50% Male,89,0.119255
t2126,50% Male,90,0.129265
t2126,50% Male,91,0.140025
t2126,50% Male,92,0.151736
t2126,50% Male,93,0.164555
t2126,50% Male,94,0.179223
t2126,50% Male,95,0.195585
t2126,50% Male,96,0.213083
t2126,50% Male,97,0.231756
t2126,50% Male,98,0.252092
t2126,50% Male,99,0.274797
t2126,50% Male,100,0.300138
t2126,50% Male,101,0.328408
t2126,50% Male,102,0.360109
t2126,50% Male,103,0.395307
t2126,50% Male,104,0.436182
t2126,50% Male,105,0.484173
t2126,50% Male,106,0.540981
t2126,50% Male,107,0.608379
t2126,50% Male,108,0.688213
t2126,50% Male,109,0.782398
t2126,50% Male,110,1
t2127,40% Male,5,2.43e-4
t2127,40% Male,6,2.15e-4
t2127,40% Male,7,1.95e-4
t2127,40% Male,8,1.84e-4
t2127,40% Male,9,1.79e-4
t2127,40% Male,10,1.79e-4
t2127,40% Male,11,1.86e-4
t2127,40% Male,12,1.93e-4
t2127,40% Male,13,2.01e-4
t2127,40% Male,14,2.09e-4
t2127,40% Male,15,2.18e-4
t2127,40% Male,16,2.26e-4
t2127,40% Male,17,2.36e-4
t2127,40% Male,18,2.46e-4
t2127,40% Male,19,2.57e-4
t2127,40% Male,20,2.68e-4
t2127,40% Male,21,2.81e-4
t2127,40% Male,22,2.94e-4
t2127,40% Male,23,3.09e-4
t2127,40% Male,24,3.25e-4
t2127,40% Male,25,3.42e-4
t2127,40% Male,26,3.6e-4
t2127,40% Male,27,3.8e-4
t2127,40% Male,28,4.03e-4
t2127,40% Male,29,4.26e-4
t2127,40% Male,30,4.53e-4
t2127,40% Male,31,4.82e-4
t2127,40% Male,32,5.13e-4
t2127,40% Male,33,5.48e-4
t2127,40% Male,34,5.86e-4
t2127,40% Male,35,6.37e-4
t2127,40% Male,36,6.72e-4
t2127,40% Male,37,7.16e-4
t2127,40% Male,38,7.68e-4
t2127,40% Male,39,8.31e-4
t2127,40% Male,40,9.05e-4
t2127,40% Male,41,9.9e-4
t2127,40% Male,42,0.00109
t2127,40% Male,43,0.001207
t2127,40% Male,44,0.001342
t2127,40% Male,45,0.0015
t2127,40% Male,46,0.001682
t2127,40% Male,47,0.001885
t2127,40% Male,48,0.002104
t2127,40% Male,49,0.002341
t2127,40% Male,50,0.002587
t2127,40% Male,51,0.002844
t2127,40% Male,52,0.003112
t2127,40% Male,53,0.003395
t2127,40% Male,54,0.003697
t2127,40% Male,55,0.004021
t2127,40% Male,56,0.004373
t2127,40% Male,57,0.00476
t2127,40% Male,58,0.005194
t2127,40% Male,59,0.005685
t2127,40% Male,60,0.006244
t2127,40% Male,61,0.00688
t2127,40% Male,62,0.007608
t2127,40% Male,63,0.00844
t2127,40% Male,64,0.009392
t2127,40% Male,65,0.010475
t2127,40% Male,66,0.011702
t2127,40% Male,67,0.013081
t2127,40% Male,68,0.014623
t2127,40% Male,69,0.016339
t2127,40% Male,70,0.018238
t2127,40% Male,71,0.02034
t2127,40% Male,72,0.022681
t2127,40% Male,73,0.025301
t2127,40% Male,74,0.028239
t2127,40% Male,75,0.031528
t2127,40% Male,76,0.035196
t2127,40% Male,77,0.039235
t2127,40% Male,78,0.04363
t2127,40% Male,79,0.048366
t2127,40% Male,80,0.053427
t2127,40% Male,81,0.058799
t2127,40% Male,82,0.064466
t2127,40% Male,83,0.070418
t2127,40% Male,84,0.07664
t2127,40% Male,85,0.08313
t2127,40% Male,86,0.090087
t2127,40% Male,87,0.097536
t2127,40% Male,88,0.105612
t2127,40% Male,89,0.114786
t2127,40% Male,90,0.124826
t2127,40% Male,91,0.135665
t2127,40% Male,92,0.147532
t2127,40% Male,93,0.160592
t2127,40% Male,94,0.175438
t2127,40% Male,95,0.192011
t2127,40% Male,96,0.209972
t2127,40% Male,97,0.22906
t2127,40% Male,98,0.249798
t2127,40% Male,99,0.27293
t2127,40% Male,100,0.298732
t2127,40% Male,101,0.327499
t2127,40% Male,102,0.359762
t2127,40% Male,103,0.395461
t2127,40% Male,104,0.436807
t2127,40% Male,105,0.485215
t2127,40% Male,106,0.542376
t2127,40% Male,107,0.610053
t2127,40% Male,108,0.690076
t2127,40% Male,109,0.784343
t2127,40% Male,110,1
t2128,20% Male,5,2.08e-4
t2128,20% Male,6,1.78e-4
t2128,20% Male,7,1.57e-4
t2128,20% Male,8,1.45e-4
t2128,20% Male,9,1.39e-4
t2128,20% Male,10,1.38e-4
t2128,20% Male,11,1.45e-4
t2128,20% Male,12,1.54e-4
t2128,20% Male,13,1.62e-4
t2128,20% Male,14,1.71e-4
t2128,20% Male,15,1.8e-4
t2128,20% Male,16,1.88e-4
t2128,20% Male,17,1.98e-4
t2128,20% Male,18,2.08e-4
t2128,20% Male,19,2.19e-4
t2128,20% Male,20,2.29e-4
t2128,20% Male,21,2.42e-4
t2128,20% Male,22,2.54e-4
t2128,20% Male,23,2.67e-4
t2128,20% Male,24,2.83e-4
t2128,20% Male,25,2.98e-4
t2128,20% Male,26,3.15e-4
t2128,20% Male,27,3.33e-4
t2128,20% Male,28,3.53e-4
t2128,20% Male,29,3.74e-4
t2128,20% Male,30,3.98e-4
t2128,20% Male,31,4.24e-4
t2128,20% Male,32,4.52e-4
t2128,20% Male,33,4.82e-4
t2128,20% Male,34,5.16e-4
t2128,20% Male,35,5.58e-4
t2128,20% Male,36,5.88e-4
t2128,20% Male,37,6.28e-4
t2128,20% Male,38,6.72e-4
t2128,20% Male,39,7.26e-4
t2128,20% Male,40,7.87e-4
t2128,20% Male,41,8.55e-4
t2128,20% Male,42,9.35e-4
t2128,20% Male,43,0.001027
t2128,20% Male,44,0.001134
t2128,20% Male,45,0.001259
t2128,20% Male,46,0.001404
t2128,20% Male,47,0.001565
t2128,20% Male,48,0.00174
t2128,20% Male,49,0.001929
t2128,20% Male,50,0.002123
t2128,20% Male,51,0.002325
t2128,20% Male,52,0.002538
t2128,20% Male,53,0.002765
t2128,20% Male,54,0.003014
t2128,20% Male,55,0.003289
t2128,20% Male,56,0.003595
t2128,20% Male,57,0.003939
t2128,20% Male,58,0.004326
t2128,20% Male,59,0.00476
t2128,20% Male,60,0.005249
t2128,20% Male,61,0.005797
t2128,20% Male,62,0.006414
t2128,20% Male,63,0.007109
t2128,20% Male,64,0.007891
t2128,20% Male,65,0.00877
t2128,20% Male,66,0.009756
t2128,20% Male,67,0.010873
t2128,20% Male,68,0.012148
t2128,20% Male,69,0.013608
t2128,20% Male,70,0.015279
t2128,20% Male,71,0.01719
t2128,20% Male,72,0.019364
t2128,20% Male,73,0.021821
t2128,20% Male,74,0.024579
t2128,20% Male,75,0.027656
t2128,20% Male,76,0.031064
t2128,20% Male,77,0.0348
t2128,20% Male,78,0.03886
t2128,20% Male,79,0.043237
t2128,20% Male,80,0.047924
t2128,20% Male,81,0.052917
t2128,20% Male,82,0.058217
t2128,20% Male,83,0.063827
t2128,20% Male,84,0.069747
t2128,20% Male,85,0.075989
t2128,20% Male,86,0.082733
t2128,20% Male,87,0.090051
t2128,20% Male,88,0.09807
t2128,20% Male,89,0.107328
t2128,20% Male,90,0.117518
t2128,20% Male,91,0.128583
t2128,20% Male,92,0.140794
t2128,20% Male,93,0.154318
t2128,20% Male,94,0.169519
t2128,20% Male,95,0.186488
t2128,20% Male,96,0.205218
t2128,20% Male,97,0.224983
t2128,20% Male,98,0.246357
t2128,20% Male,99,0.270153
t2128,20% Male,100,0.296651
t2128,20% Male,101,0.326162
t2128,20% Male,102,0.359253
t2128,20% Male,103,0.395686
t2128,20% Male,104,0.437722
t2128,20% Male,105,0.486745
t2128,20% Male,106,0.544437
t2128,20% Male,107,0.612544
t2128,20% Male,108,0.692878
t2128,20% Male,109,0.787313
t2128,20% Male,110,1
