table,gender,issue_age,duration,q_sel
t3363,Male,9,18,8.5e-4
t3363,Male,9,19,8.4e-4
t3363,Male,9,20,8.3e-4
t3363,Male,9,21,8.2e-4
t3363,Male,9,22,8.4e-4
t3363,Male,9,23,8.8e-4
t3363,Male,9,24,9.5e-4
t3363,Male,9,25,0.00102
t3363,Male,10,1,8e-5
t3363,Male,10,2,9e-5
t3363,Male,10,3,1.1e-4
t3363,Male,10,4,1.6e-4
t3363,Male,10,5,2.3e-4
t3363,Male,10,6,3.4e-4
t3363,Male,10,7,4.8e-4
t3363,Male,10,8,6.3e-4
t3363,Male,10,9,7.5e-4
t3363,Male,10,10,8.2e-4
t3363,Male,10,11,8.5e-4
t3363,Male,10,12,8.6e-4
t3363,Male,10,13,8.6e-4
t3363,Male,10,14,8.6e-4
t3363,Male,10,15,8.6e-4
t3363,Male,10,16,8.6e-4
t3363,Male,10,17,8.5e-4
t3363,Male,10,18,8.4e-4
t3363,Male,10,19,8.3e-4
t3363,Male,10,20,8.2e-4
t3363,Male,10,21,8.4e-4
t3363,Male,10,22,8.8e-4
t3363,Male,10,23,9.5e-4
t3363,Male,10,24,0.00102
t3363,Male,10,25,0.0011
t3363,Male,11,1,9e-5
t3363,Male,11,2,1.1e-4
t3363,Male,11,3,1.6e-4
t3363,Male,11,4,2.3e-4
t3363,Male,11,5,3.4e-4
t3363,Male,11,6,4.8e-4
t3363,Male,11,7,6.3e-4
t3363,Male,11,8,7.5e-4
t3363,Male,11,9,8.2e-4
t3363,Male,11,10,8.5e-4
t3363,Male,11,11,8.6e-4
t3363,Male,11,12,8.6e-4
t3363,Male,11,13,8.6e-4
t3363,Male,11,14,8.6e-4
t3363,Male,11,15,8.6e-4
t3363,Male,11,16,8.5e-4
t3363,Male,11,17,8.4e-4
t3363,Male,11,18,8.3e-4
t3363,Male,11,19,8.2e-4
t3363,Male,11,20,8.4e-4
t3363,Male,11,21,8.8e-4
t3363,Male,11,22,9.5e-4
t3363,Male,11,23,0.00102
t3363,Male,11,24,0.0011
t3363,Male,11,25,0.0012
t3363,Male,12,1,1.1e-4
t3363,Male,12,2,1.6e-4
t3363,Male,12,3,2.3e-4
t3363,Male,12,4,3.4e-4
t3363,Male,12,5,4.8e-4
