issue_age,attained_age,duration,table,gender,q_sel,q_ult
1,5,5,t3363,Male,8e-5,8e-5
1,6,6,t3363,Male,8e-5,8e-5
1,7,7,t3363,Male,8e-5,8e-5
1,8,8,t3363,Male,7e-5,7e-5
1,9,9,t3363,Male,8e-5,8e-5
1,10,10,t3363,Male,8e-5,8e-5
1,11,11,t3363,Male,9e-5,9e-5
1,12,12,t3363,Male,1.1e-4,1.1e-4
1,13,13,t3363,Male,1.6e-4,1.6e-4
1,14,14,t3363,Male,2.3e-4,2.3e-4
1,15,15,t3363,Male,3.4e-4,3.4e-4
1,16,16,t3363,Male,4.8e-4,4.8e-4
1,17,17,t3363,Male,6.3e-4,6.3e-4
1,18,18,t3363,Male,7.5e-4,7.5e-4
1,19,19,t3363,Male,8.2e-4,8.2e-4
1,20,20,t3363,Male,8.5e-4,8.5e-4
1,21,21,t3363,Male,8.6e-4,8.6e-4
1,22,22,t3363,Male,8.6e-4,8.6e-4
1,23,23,t3363,Male,8.6e-4,8.6e-4
1,24,24,t3363,Male,8.6e-4,8.6e-4
1,25,25,t3363,Male,8.6e-4,8.6e-4
1,26,26,t3363,Male,NA,8.5e-4
1,27,27,t3363,Male,NA,8.4e-4
1,28,28,t3363,Male,NA,8.3e-4
1,29,29,t3363,Male,NA,8.2e-4
1,30,30,t3363,Male,NA,8.4e-4
1,31,31,t3363,Male,NA,8.8e-4
1,32,32,t3363,Male,NA,9.5e-4
1,33,33,t3363,Male,NA,0.00102
1,34,34,t3363,Male,NA,0.0011
1,35,35,t3363,Male,NA,0.0012
1,36,36,t3363,Male,NA,0.0013
1,37,37,t3363,Male,NA,0.0014
1,38,38,t3363,Male,NA,0.00151
1,39,39,t3363,Male,NA,0.00163
1,40,40,t3363,Male,NA,0.00176
1,41,41,t3363,Male,NA,0.00188
1,42,42,t3363,Male,NA,0.00198
1,43,43,t3363,Male,NA,0.00202
1,44,44,t3363,Male,NA,0.00208
1,45,45,t3363,Male,NA,0.00214
1,46,46,t3363,Male,NA,0.00219
1,47,47,t3363,Male,NA,0.00225
1,48,48,t3363,Male,NA,0.00231
1,49,49,t3363,Male,NA,0.00239
1,50,50,t3363,Male,NA,0.00251
1,51,51,t3363,Male,NA,0.00266
1,52,52,t3363,Male,NA,0.00283
1,53,53,t3363,Male,NA,0.00303
1,54,54,t3363,Male,NA,0.00327
1,55,55,t3363,Male,NA,0.00353
1,56,56,t3363,Male,NA,0.00384
1,57,57,t3363,Male,NA,0.0042
1,58,58,t3363,Male,NA,0.0046
1,59,59,t3363,Male,NA,0.00507
1,60,60,t3363,Male,NA,0.00562
1,61,61,t3363,Male,NA,0.00623
1,62,62,t3363,Male,NA,0.00693
1,63,63,t3363,Male,NA,0.00771
1,64,64,t3363,Male,NA,0.00855
1,65,65,t3363,Male,NA,0.00945
1,66,66,t3363,Male,NA,0.0104
1,67,67,t3363,Male,NA,0.01143
1,68,68,t3363,Male,NA,0.01256
1,69,69,t3363,Male,NA,0.01386
1,70,70,t3363,Male,NA,0.01538
1,71,71,t3363,Male,NA,0.01716
1,72,72,t3363,Male,NA,0.01924
1,73,73,t3363,Male,NA,0.0216
1,74,74,t3363,Male,NA,0.02423
1,75,75,t3363,Male,NA,0.02708
1,76,76,t3363,Male,NA,0.03015
1,77,77,t3363,Male,NA,0.03347
1,78,78,t3363,Male,NA,0.03715
1,79,79,t3363,Male,NA,0.04131
1,80,80,t3363,Male,NA,0.04606
1,81,81,t3363,Male,NA,0.05141
1,82,82,t3363,Male,NA,0.05768
1,83,83,t3363,Male,NA,0.06513
1,84,84,t3363,Male,NA,0.07369
1,85,85,t3363,Male,NA,0.08352
1,86,86,t3363,Male,NA,0.09471
1,87,87,t3363,Male,NA,0.10726
1,88,88,t3363,Male,NA,0.12094
1,89,89,t3363,Male,NA,0.13544
1,90,90,t3363,Male,NA,0.15043
1,91,91,t3363,Male,NA,0.16548
1,92,92,t3363,Male,NA,0.18031
1,93,93,t3363,Male,NA,0.19455
1,94,94,t3363,Male,NA,0.20755
1,95,95,t3363,Male,NA,0.22127
1,96,96,t3363,Male,NA,0.2375
1,97,97,t3363,Male,NA,0.25511
1,98,98,t3363,Male,NA,0.27422
1,99,99,t3363,Male,NA,0.29448
1,100,100,t3363,Male,NA,0.31552
1,101,101,t3363,Male,NA,0.33699
1,102,102,t3363,Male,NA,0.35854
1,103,103,t3363,Male,NA,0.37981
1,104,104,t3363,Male,NA,0.40044
1,105,105,t3363,Male,NA,0.42009
1,106,106,t3363,Male,NA,0.4384
1,107,107,t3363,Male,NA,0.45501
1,108,108,t3363,Male,NA,0.46956
1,109,109,t3363,Male,NA,0.4817
1,110,110,t3363,Male,NA,0.49107
1,111,111,t3363,Male,NA,0.49731
1,112,112,t3363,Male,NA,0.5
1,113,113,t3363,Male,NA,0.5
1,114,114,t3363,Male,NA,0.5
1,115,115,t3363,Male,NA,0.5
1,116,116,t3363,Male,NA,0.5
1,117,117,t3363,Male,NA,0.5
1,118,118,t3363,Male,NA,0.5
