table,gender,tobacco,issue_age,duration,q_sel
t3365,Male,Nonsmoker,25,1,2.7e-4
t3365,Male,Nonsmoker,25,2,2.8e-4
t3365,Male,Nonsmoker,25,3,2.5e-4
t3365,Male,Nonsmoker,25,4,2.5e-4
t3365,Male,Nonsmoker,25,5,2.5e-4
t3365,Male,Nonsmoker,25,6,2.5e-4
t3365,Male,Nonsmoker,25,7,2.8e-4
t3365,Male,Nonsmoker,25,8,3.1e-4
t3365,Male,Nonsmoker,25,9,3.4e-4
t3365,Male,Nonsmoker,25,10,4e-4
t3365,Male,Nonsmoker,25,11,4.4e-4
t3365,Male,Nonsmoker,25,12,5e-4
t3365,Male,Nonsmoker,25,13,5.5e-4
t3365,Male,Nonsmoker,25,14,6.1e-4
t3365,Male,Nonsmoker,25,15,6.7e-4
t3365,Male,Nonsmoker,25,16,7.4e-4
t3365,Male,Nonsmoker,25,17,8.5e-4
t3365,Male,Nonsmoker,25,18,9.7e-4
t3365,Male,Nonsmoker,25,19,0.00105
t3365,Male,Nonsmoker,25,20,0.0011
t3365,Male,Nonsmoker,25,21,0.00116
t3365,Male,Nonsmoker,25,22,0.00121
t3365,Male,Nonsmoker,25,23,0.00135
t3365,Male,Nonsmoker,25,24,0.00152
t3365,Male,Nonsmoker,25,25,0.0017
t3365,Male,Nonsmoker,26,1,2.3e-4
t3365,Male,Nonsmoker,26,2,2.5e-4
t3365,Male,Nonsmoker,26,3,2.3e-4
t3365,Male,Nonsmoker,26,4,2.4e-4
t3365,Male,Nonsmoker,26,5,2.4e-4
t3365,Male,Nonsmoker,26,6,2.5e-4
t3365,Male,Nonsmoker,26,7,2.8e-4
t3365,Male,Nonsmoker,26,8,3.2e-4
t3365,Male,Nonsmoker,26,9,3.5e-4
t3365,Male,Nonsmoker,26,10,4.2e-4
t3365,Male,Nonsmoker,26,11,4.8e-4
t3365,Male,Nonsmoker,26,12,5.4e-4
t3365,Male,Nonsmoker,26,13,5.8e-4
t3365,Male,Nonsmoker,26,14,6.5e-4
t3365,Male,Nonsmoker,26,15,7.2e-4
t3365,Male,Nonsmoker,26,16,7.9e-4
t3365,Male,Nonsmoker,26,17,9.2e-4
t3365,Male,Nonsmoker,26,18,0.00102
t3365,Male,Nonsmoker,26,19,0.00108
t3365,Male,Nonsmoker,26,20,0.0011
t3365,Male,Nonsmoker,26,21,0.00117
t3365,Male,Nonsmoker,26,22,0.00129
t3365,Male,Nonsmoker,26,23,0.00145
t3365,Male,Nonsmoker,26,24,0.00163
t3365,Male,Nonsmoker,26,25,0.00183
t3365,Male,Nonsmoker,27,1,2e-4
t3365,Male,Nonsmoker,27,2,2.2e-4
t3365,Male,Nonsmoker,27,3,2.2e-4
t3365,Male,Nonsmoker,27,4,2.3e-4
t3365,Male,Nonsmoker,27,5,2.4e-4
