table,gender,tobacco,attained_age,q_ult
t3266,Female,Non-Smoker,47,9.6e-4
t3266,Female,Non-Smoker,48,0.00101
t3266,Female,Non-Smoker,49,0.00109
t3266,Female,Non-Smoker,50,0.00117
t3266,Female,Non-Smoker,51,0.00128
t3266,Female,Non-Smoker,52,0.00142
t3266,Female,Non-Smoker,53,0.0016
t3266,Female,Non-Smoker,54,0.0018
t3266,Female,Non-Smoker,55,0.002
t3266,Female,Non-Smoker,56,0.0022
t3266,Female,Non-Smoker,57,0.00239
t3266,Female,Non-Smoker,58,0.00259
t3266,Female,Non-Smoker,59,0.00279
t3266,Female,Non-Smoker,60,0.00303
t3266,Female,Non-Smoker,61,0.0033
t3266,Female,Non-Smoker,62,0.00362
t3266,Female,Non-Smoker,63,0.00398
t3266,Female,Non-Smoker,64,0.00439
t3266,Female,Non-Smoker,65,0.00483
t3266,Female,Non-Smoker,66,0.0053
t3266,Female,Non-Smoker,67,0.00581
t3266,Female,Non-Smoker,68,0.00637
t3266,Female,Non-Smoker,69,0.00699
t3266,Female,Non-Smoker,70,0.00773
t3266,Female,Non-Smoker,71,0.0086
t3266,Female,Non-Smoker,72,0.00963
t3266,Female,Non-Smoker,73,0.01082
t3266,Female,Non-Smoker,74,0.01222
t3266,Female,Non-Smoker,75,0.01384
t3266,Female,Non-Smoker,76,0.01568
t3266,Female,Non-Smoker,77,0.01782
t3266,Female,Non-Smoker,78,0.02032
t3266,Female,Non-Smoker,79,0.0233
t3266,Female,Non-Smoker,80,0.02691
t3266,Female,Non-Smoker,81,0.03106
t3266,Female,Non-Smoker,82,0.03515
t3266,Female,Non-Smoker,83,0.03961
t3266,Female,Non-Smoker,84,0.04497
t3266,Female,Non-Smoker,85,0.05319
t3266,Female,Non-Smoker,86,0.06047
t3266,Female,Non-Smoker,87,0.06864
t3266,Female,Non-Smoker,88,0.07821
t3266,Female,Non-Smoker,89,0.08884
t3266,Female,Non-Smoker,90,0.10049
t3266,Female,Non-Smoker,91,0.11292
t3266,Female,Non-Smoker,92,0.12641
t3266,Female,Non-Smoker,93,0.14096
t3266,Female,Non-Smoker,94,0.1558
t3266,Female,Non-Smoker,95,0.17179
t3266,Female,Non-Smoker,96,0.19155
t3266,Female,Non-Smoker,97,0.21329
t3266,Female,Non-Smoker,98,0.23702
t3266,Female,Non-Smoker,99,0.26244
t3266,Female,Non-Smoker,100,0.28919
t3266,Female,Non-Smoker,101,0.3133
t3266,Female,Non-Smoker,102,0.33747
t3266,Female,Non-Smoker,103,0.36133
t3266,Female,Non-Smoker,104,0.3845
t3266,Female,Non-Smoker,105,0.4066
t3266,Female,Non-Smoker,106,0.42726
t3266,Female,Non-Smoker,107,0.44611
t3266,Female,Non-Smoker,108,0.46277
t3266,Female,Non-Smoker,109,0.47686
t3266,Female,Non-Smoker,110,0.488
t3266,Female,Non-Smoker,111,0.49583
t3266,Female,Non-Smoker,112,0.5
t3266,Female,Non-Smoker,113,0.5
t3266,Female,Non-Smoker,114,0.5
t3266,Female,Non-Smoker,115,0.5
t3266,Female,Non-Smoker,116,0.5
t3266,Female,Non-Smoker,117,0.5
t3266,Female,Non-Smoker,118,0.5
t3266,Female,Non-Smoker,119,0.5
t3266,Female,Non-Smoker,120,0.5
t3267,Male,Smoker,18,6.9e-4
t3267,Male,Smoker,19,7.2e-4
t3267,Male,Smoker,20,7.5e-4
t3267,Male,Smoker,21,7.7e-4
t3267,Male,Smoker,22,8e-4
t3267,Male,Smoker,23,8.3e-4
t3267,Male,Smoker,24,8.6e-4
t3267,Male,Smoker,25,8.8e-4
t3267,Male,Smoker,26,8.8e-4
t3267,Male,Smoker,27,8.7e-4
t3267,Male,Smoker,28,8.5e-4
t3267,Male,Smoker,29,8.4e-4
t3267,Male,Smoker,30,8.4e-4
t3267,Male,Smoker,31,8.7e-4
t3267,Male,Smoker,32,0.00093000000000000005
t3267,Male,Smoker,33,0.001
t3267,Male,Smoker,34,0.00107
t3267,Male,Smoker,35,0.00116
t3267,Male,Smoker,36,0.00127
t3267,Male,Smoker,37,0.00137
t3267,Male,Smoker,38,0.0015
t3267,Male,Smoker,39,0.00169
t3267,Male,Smoker,40,0.0019
t3267,Male,Smoker,41,0.00214
t3267,Male,Smoker,42,0.00236
t3267,Male,Smoker,43,0.00257
t3267,Male,Smoker,44,0.00273
t3267,Male,Smoker,45,0.00285
t3267,Male,Smoker,46,0.00304
t3267,Male,Smoker,47,0.00323
t3267,Male,Smoker,48,0.00345
t3267,Male,Smoker,49,0.00369
t3267,Male,Smoker,50,0.00397
t3267,Male,Smoker,51,0.00429
t3267,Male,Smoker,52,0.00465
t3267,Male,Smoker,53,0.00506
t3267,Male,Smoker,54,0.00551
t3267,Male,Smoker,55,0.00602
t3267,Male,Smoker,56,0.00661
t3267,Male,Smoker,57,0.00727
t3267,Male,Smoker,58,0.00803
t3267,Male,Smoker,59,0.00889
t3267,Male,Smoker,60,0.00988
t3267,Male,Smoker,61,0.01102
t3267,Male,Smoker,62,0.01231
t3267,Male,Smoker,63,0.01375
t3267,Male,Smoker,64,0.01531
t3267,Male,Smoker,65,0.01706
t3267,Male,Smoker,66,0.01892
t3267,Male,Smoker,67,0.02088
t3267,Male,Smoker,68,0.02294
t3267,Male,Smoker,69,0.02518
t3267,Male,Smoker,70,0.02768
t3267,Male,Smoker,71,0.03053
t3267,Male,Smoker,72,0.03375
t3267,Male,Smoker,73,0.03726
t3267,Male,Smoker,74,0.04097
t3267,Male,Smoker,75,0.04476
t3267,Male,Smoker,76,0.04852
t3267,Male,Smoker,77,0.05223
t3267,Male,Smoker,78,0.05594
t3267,Male,Smoker,79,0.05985
t3267,Male,Smoker,80,0.06403
t3267,Male,Smoker,81,0.06866
t3267,Male,Smoker,82,0.07339
t3267,Male,Smoker,83,0.08055
t3267,Male,Smoker,84,0.08864
t3267,Male,Smoker,85,0.09784
t3267,Male,Smoker,86,0.10828
t3267,Male,Smoker,87,0.1199
t3267,Male,Smoker,88,0.13264
t3267,Male,Smoker,89,0.14594
t3267,Male,Smoker,90,0.15964
t3267,Male,Smoker,91,0.17322
t3267,Male,Smoker,92,0.18637
t3267,Male,Smoker,93,0.199
t3267,Male,Smoker,94,0.2105
t3267,Male,Smoker,95,0.22036
t3267,Male,Smoker,96,0.23443
t3267,Male,Smoker,97,0.24987
t3267,Male,Smoker,98,0.26725
t3267,Male,Smoker,99,0.28629
t3267,Male,Smoker,100,0.3067
t3267,Male,Smoker,101,0.32825
t3267,Male,Smoker,102,0.35002
t3267,Male,Smoker,103,0.37165
t3267,Male,Smoker,104,0.39279
t3267,Male,Smoker,105,0.41305
t3267,Male,Smoker,106,0.43208
t3267,Male,Smoker,107,0.44951
t3267,Male,Smoker,108,0.46498
t3267,Male,Smoker,109,0.47812
t3267,Male,Smoker,110,0.48857
t3267,Male,Smoker,111,0.49595
t3267,Male,Smoker,112,0.5
t3267,Male,Smoker,113,0.5
t3267,Male,Smoker,114,0.5
t3267,Male,Smoker,115,0.5
t3267,Male,Smoker,116,0.5
t3267,Male,Smoker,117,0.5
t3267,Male,Smoker,118,0.5
t3267,Male,Smoker,119,0.5
t3267,Male,Smoker,120,0.5
t3268,Female,Smoker,18,2.7e-4
t3268,Female,Smoker,19,2.7e-4
t3268,Female,Smoker,20,2.7e-4
t3268,Female,Smoker,21,2.7e-4
t3268,Female,Smoker,22,2.7e-4
t3268,Female,Smoker,23,2.9e-4
t3268,Female,Smoker,24,3.3e-4
t3268,Female,Smoker,25,3.4e-4
t3268,Female,Smoker,26,3.4e-4
t3268,Female,Smoker,27,3.4e-4
t3268,Female,Smoker,28,3.5e-4
t3268,Female,Smoker,29,3.7e-4
t3268,Female,Smoker,30,4e-4
t3268,Female,Smoker,31,4.3e-4
t3268,Female,Smoker,32,4.5e-4
t3268,Female,Smoker,33,4.9e-4
t3268,Female,Smoker,34,6.5e-4
t3268,Female,Smoker,35,7.3e-4
t3268,Female,Smoker,36,8.6e-4
t3268,Female,Smoker,37,0.00103
t3268,Female,Smoker,38,0.00117
t3268,Female,Smoker,39,0.00129
t3268,Female,Smoker,40,0.0014
t3268,Female,Smoker,41,0.00149
t3268,Female,Smoker,42,0.00158
t3268,Female,Smoker,43,0.00167
t3268,Female,Smoker,44,0.00176
t3268,Female,Smoker,45,0.00187
t3268,Female,Smoker,46,0.00205
t3268,Female,Smoker,47,0.00225
t3268,Female,Smoker,48,0.00246
t3268,Female,Smoker,49,0.00271
t3268,Female,Smoker,50,0.00297
t3268,Female,Smoker,51,0.00328
t3268,Female,Smoker,52,0.00361
t3268,Female,Smoker,53,0.00398
t3268,Female,Smoker,54,0.00439
t3268,Female,Smoker,55,0.00484
t3268,Female,Smoker,56,0.00535
t3268,Female,Smoker,57,0.00593
t3268,Female,Smoker,58,0.00659
t3268,Female,Smoker,59,0.00731
t3268,Female,Smoker,60,0.00812
t3268,Female,Smoker,61,0.00901
t3268,Female,Smoker,62,0.01001
t3268,Female,Smoker,63,0.01109
t3268,Female,Smoker,64,0.01228
t3268,Female,Smoker,65,0.01357
t3268,Female,Smoker,66,0.01496
t3268,Female,Smoker,67,0.01645
t3268,Female,Smoker,68,0.01802
t3268,Female,Smoker,69,0.01966
t3268,Female,Smoker,70,0.02149
t3268,Female,Smoker,71,0.02351
t3268,Female,Smoker,72,0.02547
t3268,Female,Smoker,73,0.02765
t3268,Female,Smoker,74,0.02999
t3268,Female,Smoker,75,0.03261
t3268,Female,Smoker,76,0.03549
t3268,Female,Smoker,77,0.03873
t3268,Female,Smoker,78,0.04227
t3268,Female,Smoker,79,0.0462
t3268,Female,Smoker,80,0.05141
t3268,Female,Smoker,81,0.05761
t3268,Female,Smoker,82,0.06464
t3268,Female,Smoker,83,0.07252
t3268,Female,Smoker,84,0.08055
t3268,Female,Smoker,85,0.08778
t3268,Female,Smoker,86,0.09921
t3268,Female,Smoker,87,0.10938
t3268,Female,Smoker,88,0.12048
t3268,Female,Smoker,89,0.13226
t3268,Female,Smoker,90,0.14456
t3268,Female,Smoker,91,0.15692
t3268,Female,Smoker,92,0.16963
t3268,Female,Smoker,93,0.18259
t3268,Female,Smoker,94,0.19474
t3268,Female,Smoker,95,0.20713
t3268,Female,Smoker,96,0.22269
t3268,Female,Smoker,97,0.23898
t3268,Female,Smoker,98,0.25583
t3268,Female,Smoker,99,0.27273
t3268,Female,Smoker,100,0.28919
t3268,Female,Smoker,101,0.3133
t3268,Female,Smoker,102,0.33747
t3268,Female,Smoker,103,0.36133
t3268,Female,Smoker,104,0.3845
t3268,Female,Smoker,105,0.4066
t3268,Female,Smoker,106,0.42726
t3268,Female,Smoker,107,0.44611
t3268,Female,Smoker,108,0.46277
t3268,Female,Smoker,109,0.47686
t3268,Female,Smoker,110,0.488
t3268,Female,Smoker,111,0.49583
t3268,Female,Smoker,112,0.5
t3268,Female,Smoker,113,0.5
t3268,Female,Smoker,114,0.5
t3268,Female,Smoker,115,0.5
t3268,Female,Smoker,116,0.5
t3268,Female,Smoker,117,0.5
t3268,Female,Smoker,118,0.5
t3268,Female,Smoker,119,0.5
t3268,Female,Smoker,120,0.5
