issue_age,attained_age,duration,table,gender,q_sel,q_ult
1,13,13,t3289,Male,2e-4,2e-4
1,14,14,t3289,Male,2.9e-4,2.9e-4
1,15,15,t3289,Male,4.2e-4,4.2e-4
1,16,16,t3289,Male,5.9e-4,5.9e-4
1,17,17,t3289,Male,7.8e-4,7.8e-4
1,18,18,t3289,Male,8e-4,8e-4
1,19,19,t3289,Male,8.4e-4,8.4e-4
1,20,20,t3289,Male,8.7e-4,8.7e-4
1,21,21,t3289,Male,9e-4,9e-4
1,22,22,t3289,Male,0.00093000000000000005,0.00093000000000000005
1,23,23,t3289,Male,9.6e-4,9.6e-4
1,24,24,t3289,Male,0.001,0.001
1,25,25,t3289,Male,0.00101,0.00101
1,26,26,t3289,Male,NA,0.00101
1,27,27,t3289,Male,NA,0.001
1,28,28,t3289,Male,NA,9.8e-4
1,29,29,t3289,Male,NA,9.8e-4
1,30,30,t3289,Male,NA,0.001
1,31,31,t3289,Male,NA,0.00105
1,32,32,t3289,Male,NA,0.00113
1,33,33,t3289,Male,NA,0.00121
1,34,34,t3289,Male,NA,0.0013
1,35,35,t3289,Male,NA,0.00141
1,36,36,t3289,Male,NA,0.00154
1,37,37,t3289,Male,NA,0.00169
1,38,38,t3289,Male,NA,0.00183
1,39,39,t3289,Male,NA,0.00198
1,40,40,t3289,Male,NA,0.00213
1,41,41,t3289,Male,NA,0.00227
1,42,42,t3289,Male,NA,0.00239
1,43,43,t3289,Male,NA,0.00244
1,44,44,t3289,Male,NA,0.00251
1,45,45,t3289,Male,NA,0.00257
1,46,46,t3289,Male,NA,0.00264
1,47,47,t3289,Male,NA,0.00271
1,48,48,t3289,Male,NA,0.00277
1,49,49,t3289,Male,NA,0.00287
1,50,50,t3289,Male,NA,0.00301
1,51,51,t3289,Male,NA,0.00319
1,52,52,t3289,Male,NA,0.00339
1,53,53,t3289,Male,NA,0.00363
1,54,54,t3289,Male,NA,0.0039
1,55,55,t3289,Male,NA,0.00422
1,56,56,t3289,Male,NA,0.00458
1,57,57,t3289,Male,NA,0.005
1,58,58,t3289,Male,NA,0.00548
1,59,59,t3289,Male,NA,0.00604
1,60,60,t3289,Male,NA,0.00667
1,61,61,t3289,Male,NA,0.0074
1,62,62,t3289,Male,NA,0.00822
