table,gender,issue_age,duration,q_sel
t3289,Male,24,2,4.4e-4
t3289,Male,24,3,4.3e-4
t3289,Male,24,4,4.4e-4
t3289,Male,24,5,4.5e-4
t3289,Male,24,6,4.6e-4
t3289,Male,24,7,4.8e-4
t3289,Male,24,8,5.3e-4
t3289,Male,24,9,5.8e-4
t3289,Male,24,10,6.6e-4
t3289,Male,24,11,7.2e-4
t3289,Male,24,12,7.9e-4
t3289,Male,24,13,8.6e-4
t3289,Male,24,14,9.8e-4
t3289,Male,24,15,0.00112
t3289,Male,24,16,0.00124
t3289,Male,24,17,0.00141
t3289,Male,24,18,0.00159
t3289,Male,24,19,0.00175
t3289,Male,24,20,0.0018600000000000001
t3289,Male,24,21,0.00197
t3289,Male,24,22,0.00207
t3289,Male,24,23,0.00221
t3289,Male,24,24,0.00242
t3289,Male,24,25,0.00264
t3289,Male,25,1,3.7e-4
t3289,Male,25,2,4e-4
t3289,Male,25,3,3.9e-4
t3289,Male,25,4,4e-4
t3289,Male,25,5,4.2e-4
t3289,Male,25,6,4.4e-4
t3289,Male,25,7,4.8e-4
t3289,Male,25,8,5.4e-4
t3289,Male,25,9,5.9e-4
t3289,Male,25,10,6.8e-4
t3289,Male,25,11,7.5e-4
t3289,Male,25,12,8.3e-4
t3289,Male,25,13,9.2e-4
t3289,Male,25,14,0.00106
t3289,Male,25,15,0.00119
t3289,Male,25,16,0.00133
t3289,Male,25,17,0.00151
t3289,Male,25,18,0.00167
t3289,Male,25,19,0.0018
t3289,Male,25,20,0.00188
t3289,Male,25,21,0.00199
t3289,Male,25,22,0.00212
t3289,Male,25,23,0.00231
t3289,Male,25,24,0.00253
t3289,Male,25,25,0.00277
t3289,Male,26,1,3.3e-4
t3289,Male,26,2,3.6e-4
t3289,Male,26,3,3.6e-4
t3289,Male,26,4,3.8e-4
t3289,Male,26,5,4e-4
t3289,Male,26,6,4.4e-4
t3289,Male,26,7,4.9e-4
t3289,Male,26,8,5.5e-4
t3289,Male,26,9,6.1e-4
t3289,Male,26,10,7.1e-4
t3289,Male,26,11,7.9e-4
t3289,Male,26,12,8.7e-4
t3289,Male,26,13,9.9e-4
t3289,Male,26,14,0.00114
t3289,Male,26,15,0.00128
t3289,Male,26,16,0.00142
t3289,Male,26,17,0.00159
t3289,Male,26,18,0.00174
t3289,Male,26,19,0.00183
t3289,Male,26,20,0.00192
t3289,Male,26,21,0.00205
t3289,Male,26,22,0.00222
t3289,Male,26,23,0.00243
t3289,Male,26,24,0.00266
t3289,Male,26,25,0.00292
t3289,Male,27,1,2.9e-4
t3289,Male,27,2,3.3e-4
t3289,Male,27,3,3.5e-4
t3289,Male,27,4,3.8e-4
t3289,Male,27,5,4.1e-4
t3289,Male,27,6,4.5e-4
t3289,Male,27,7,5.1e-4
t3289,Male,27,8,5.7e-4
t3289,Male,27,9,6.4e-4
t3289,Male,27,10,7.5e-4
t3289,Male,27,11,8.4e-4
t3289,Male,27,12,9.4e-4
t3289,Male,27,13,0.00107
t3289,Male,27,14,0.00122
t3289,Male,27,15,0.00136
t3289,Male,27,16,0.0015
t3289,Male,27,17,0.00166
t3289,Male,27,18,0.00177
t3289,Male,27,19,0.00187
t3289,Male,27,20,0.00199
t3289,Male,27,21,0.00214
t3289,Male,27,22,0.00233
t3289,Male,27,23,0.00256
t3289,Male,27,24,0.00281
t3289,Male,27,25,0.00309
t3289,Male,28,1,2.6e-4
t3289,Male,28,2,3.1e-4
t3289,Male,28,3,3.5e-4
t3289,Male,28,4,3.9e-4
t3289,Male,28,5,4.4e-4
t3289,Male,28,6,4.9e-4
t3289,Male,28,7,5.4e-4
t3289,Male,28,8,6.1e-4
t3289,Male,28,9,6.8e-4
t3289,Male,28,10,8.1e-4
t3289,Male,28,11,9.1e-4
t3289,Male,28,12,0.00102
t3289,Male,28,13,0.00115
t3289,Male,28,14,0.00131
t3289,Male,28,15,0.00145
t3289,Male,28,16,0.00157
t3289,Male,28,17,0.00171
t3289,Male,28,18,0.00183
t3289,Male,28,19,0.00196
t3289,Male,28,20,0.00209
t3289,Male,28,21,0.00226
t3289,Male,28,22,0.00248
t3289,Male,28,23,0.00272
t3289,Male,28,24,0.003
t3289,Male,28,25,0.0033
t3289,Male,29,1,2.5e-4
t3289,Male,29,2,3e-4
t3289,Male,29,3,3.6e-4
t3289,Male,29,4,4.2e-4
t3289,Male,29,5,4.7e-4
t3289,Male,29,6,5.2e-4
t3289,Male,29,7,5.7e-4
t3289,Male,29,8,6.4e-4
t3289,Male,29,9,7.2e-4
t3289,Male,29,10,8.7e-4
t3289,Male,29,11,9.8e-4
t3289,Male,29,12,0.00109
t3289,Male,29,13,0.00122
t3289,Male,29,14,0.00138
t3289,Male,29,15,0.00151
t3289,Male,29,16,0.00164
t3289,Male,29,17,0.00179
t3289,Male,29,18,0.00193
t3289,Male,29,19,0.00207
t3289,Male,29,20,0.00223
t3289,Male,29,21,0.00243
t3289,Male,29,22,0.00266
t3289,Male,29,23,0.00293
t3289,Male,29,24,0.00323
t3289,Male,29,25,0.00356
t3289,Male,30,1,2.4e-4
t3289,Male,30,2,2.9e-4
t3289,Male,30,3,3.8e-4
t3289,Male,30,4,4.5e-4
t3289,Male,30,5,5e-4
t3289,Male,30,6,5.4e-4
t3289,Male,30,7,6e-4
t3289,Male,30,8,6.8e-4
t3289,Male,30,9,7.8e-4
t3289,Male,30,10,0.00093000000000000005
t3289,Male,30,11,0.00104
t3289,Male,30,12,0.00114
t3289,Male,30,13,0.00128
t3289,Male,30,14,0.00143
t3289,Male,30,15,0.00155
t3289,Male,30,16,0.00172
t3289,Male,30,17,0.00191
t3289,Male,30,18,0.00206
t3289,Male,30,19,0.00222
t3289,Male,30,20,0.0024
t3289,Male,30,21,0.00263
t3289,Male,30,22,0.00289
t3289,Male,30,23,0.00319
t3289,Male,30,24,0.00352
t3289,Male,30,25,0.00388
t3289,Male,31,1,2.3e-4
t3289,Male,31,2,2.9e-4
t3289,Male,31,3,4e-4
t3289,Male,31,4,4.7e-4
t3289,Male,31,5,5.3e-4
t3289,Male,31,6,5.7e-4
t3289,Male,31,7,6.4e-4
t3289,Male,31,8,7.3e-4
t3289,Male,31,9,8.6e-4
t3289,Male,31,10,0.00101
t3289,Male,31,11,0.00112
t3289,Male,31,12,0.00121
t3289,Male,31,13,0.00135
t3289,Male,31,14,0.00148
t3289,Male,31,15,0.00164
t3289,Male,31,16,0.00184
t3289,Male,31,17,0.00204
t3289,Male,31,18,0.00221
t3289,Male,31,19,0.0024
t3289,Male,31,20,0.00261
t3289,Male,31,21,0.00287
t3289,Male,31,22,0.00317
t3289,Male,31,23,0.0035
t3289,Male,31,24,0.00386
t3289,Male,31,25,0.00422
t3289,Male,32,1,2.3e-4
t3289,Male,32,2,3.1e-4
t3289,Male,32,3,4.3e-4
t3289,Male,32,4,5e-4
t3289,Male,32,5,5.6e-4
t3289,Male,32,6,6.2e-4
t3289,Male,32,7,7e-4
t3289,Male,32,8,8e-4
t3289,Male,32,9,9.5e-4
t3289,Male,32,10,0.0011
t3289,Male,32,11,0.0012
t3289,Male,32,12,0.00129
t3289,Male,32,13,0.00142
t3289,Male,32,14,0.00158
t3289,Male,32,15,0.00176
t3289,Male,32,16,0.00198
t3289,Male,32,17,0.0022
t3289,Male,32,18,0.00239
t3289,Male,32,19,0.00261
t3289,Male,32,20,0.00285
t3289,Male,32,21,0.00314
