table,gender_blend,tobacco,issue_age,duration,q_sel
t3319,20% Male,Nonsmoker,23,25,0.00129
t3319,20% Male,Nonsmoker,24,1,2e-4
t3319,20% Male,Nonsmoker,24,2,2.4e-4
t3319,20% Male,Nonsmoker,24,3,2.3e-4
t3319,20% Male,Nonsmoker,24,4,2.2e-4
t3319,20% Male,Nonsmoker,24,5,2.3e-4
t3319,20% Male,Nonsmoker,24,6,2.5e-4
t3319,20% Male,Nonsmoker,24,7,2.8e-4
t3319,20% Male,Nonsmoker,24,8,3.2e-4
t3319,20% Male,Nonsmoker,24,9,3.4e-4
t3319,20% Male,Nonsmoker,24,10,3.8e-4
t3319,20% Male,Nonsmoker,24,11,4.1e-4
t3319,20% Male,Nonsmoker,24,12,4.4e-4
t3319,20% Male,Nonsmoker,24,13,5e-4
t3319,20% Male,Nonsmoker,24,14,5.9e-4
t3319,20% Male,Nonsmoker,24,15,6.7e-4
t3319,20% Male,Nonsmoker,24,16,7.4e-4
t3319,20% Male,Nonsmoker,24,17,8.1e-4
t3319,20% Male,Nonsmoker,24,18,9e-4
t3319,20% Male,Nonsmoker,24,19,9.8e-4
t3319,20% Male,Nonsmoker,24,20,0.00106
t3319,20% Male,Nonsmoker,24,21,0.00112
t3319,20% Male,Nonsmoker,24,22,0.00113
t3319,20% Male,Nonsmoker,24,23,0.00118
t3319,20% Male,Nonsmoker,24,24,0.00126
t3319,20% Male,Nonsmoker,24,25,0.00135
t3319,20% Male,Nonsmoker,25,1,1.7e-4
t3319,20% Male,Nonsmoker,25,2,2.1e-4
t3319,20% Male,Nonsmoker,25,3,2.1e-4
t3319,20% Male,Nonsmoker,25,4,2e-4
t3319,20% Male,Nonsmoker,25,5,2.2e-4
t3319,20% Male,Nonsmoker,25,6,2.5e-4
t3319,20% Male,Nonsmoker,25,7,2.8e-4
t3319,20% Male,Nonsmoker,25,8,3.2e-4
t3319,20% Male,Nonsmoker,25,9,3.5e-4
t3319,20% Male,Nonsmoker,25,10,3.9e-4
t3319,20% Male,Nonsmoker,25,11,4.3e-4
t3319,20% Male,Nonsmoker,25,12,4.8e-4
t3319,20% Male,Nonsmoker,25,13,5.5e-4
t3319,20% Male,Nonsmoker,25,14,6.4e-4
t3319,20% Male,Nonsmoker,25,15,7.1e-4
t3319,20% Male,Nonsmoker,25,16,7.6e-4
t3319,20% Male,Nonsmoker,25,17,8.3e-4
t3319,20% Male,Nonsmoker,25,18,9.1e-4
t3319,20% Male,Nonsmoker,25,19,0.001
t3319,20% Male,Nonsmoker,25,20,0.00106
t3319,20% Male,Nonsmoker,25,21,0.00112
t3319,20% Male,Nonsmoker,25,22,0.00116
t3319,20% Male,Nonsmoker,25,23,0.00124
t3319,20% Male,Nonsmoker,25,24,0.00133
t3319,20% Male,Nonsmoker,25,25,0.00143
t3319,20% Male,Nonsmoker,26,1,1.4e-4
t3319,20% Male,Nonsmoker,26,2,1.8e-4
t3319,20% Male,Nonsmoker,26,3,1.9e-4
t3319,20% Male,Nonsmoker,26,4,2e-4
t3319,20% Male,Nonsmoker,26,5,2.3e-4
t3319,20% Male,Nonsmoker,26,6,2.5e-4
t3319,20% Male,Nonsmoker,26,7,2.8e-4
t3319,20% Male,Nonsmoker,26,8,3.3e-4
t3319,20% Male,Nonsmoker,26,9,3.7e-4
t3319,20% Male,Nonsmoker,26,10,4.2e-4
t3319,20% Male,Nonsmoker,26,11,4.7e-4
t3319,20% Male,Nonsmoker,26,12,5.3e-4
t3319,20% Male,Nonsmoker,26,13,6.1e-4
t3319,20% Male,Nonsmoker,26,14,6.9e-4
t3319,20% Male,Nonsmoker,26,15,7.5e-4
t3319,20% Male,Nonsmoker,26,16,7.9e-4
t3319,20% Male,Nonsmoker,26,17,8.6e-4
t3319,20% Male,Nonsmoker,26,18,9.5e-4
t3319,20% Male,Nonsmoker,26,19,0.00102
t3319,20% Male,Nonsmoker,26,20,0.00109
t3319,20% Male,Nonsmoker,26,21,0.00115
t3319,20% Male,Nonsmoker,26,22,0.00122
t3319,20% Male,Nonsmoker,26,23,0.00131
t3319,20% Male,Nonsmoker,26,24,0.00142
t3319,20% Male,Nonsmoker,26,25,0.00154
t3319,20% Male,Nonsmoker,27,1,1.3e-4
t3319,20% Male,Nonsmoker,27,2,1.7e-4
